Company_Name,Revenue_Cr,Revenue_Source,Revenue_Confidence
Cholamandalam Financial Holdings Limited,34179.06,BRSR_XBRL,HIGH
Cholamandalam Investment and Finance Company Limited,26054.76,BRSR_XBRL,HIGH
Cipla Limited,27547.619447843,BRSR_XBRL,HIGH
CITY UNION BANK LIMITED,6732.105,BRSR_XBRL,HIGH
Clean Science and Technology Limited,922.316,BRSR_XBRL,HIGH
COAL INDIA LIMITED,14336.892,BRSR_XBRL,HIGH
Cochin Shipyard Limited,4527.841516908999,BRSR_XBRL,HIGH
Coforge Limited,5557.025307697,BRSR_XBRL,HIGH
Computer Age Management Services Limited,1422.4833,BRSR_XBRL,HIGH
Concord Biotech Limited,1200.0869,BRSR_XBRL,HIGH
Container Corporation of India Limited,9325.53,BRSR_XBRL,HIGH
COROMANDEL INTERNATIONAL LIMITED,24064.0,BRSR_XBRL,HIGH
Craftsman Automation Limited,3847.9436795,BRSR_XBRL,HIGH
CreditAccess Grameen Limited,5756.1445322,BRSR_XBRL,HIGH
Crompton Greaves Consumer Electricals Limited,7655.0459039,BRSR_XBRL,HIGH
Cummins India Limited,10166.204279679,BRSR_XBRL,HIGH
Cyient Limited,2461.4478952,BRSR_XBRL,HIGH
Dabur India Limited,9135.598392507,BRSR_XBRL,HIGH
Dalmia Bharat Limited,21348.636816037,BRSR_XBRL,HIGH
Data Patterns India Limited,708.3495904,BRSR_XBRL,HIGH
DCM Shriram Limited,12370.1018717,BRSR_XBRL,HIGH
Deepak Nitrite Limited,2724.349955,BRSR_XBRL,HIGH
Delhivery Limited,8931.904998088,BRSR_XBRL,HIGH
Devyani International Limited,3349.333,BRSR_XBRL,HIGH
DIVIS LABORATORIES LIMITED,9550.2918639,BRSR_XBRL,HIGH
Dixon Technologies India Limited,6411.4,BRSR_XBRL,HIGH
DLF Limited,7993.6613539,BRSR_XBRL,HIGH
DOMS Industries Limited,1709.109574,BRSR_XBRL,HIGH
Dr Reddys Laboratories Limited,32643.7636642,BRSR_XBRL,HIGH
Easy Trip Planners Limited,481.525,BRSR_XBRL,HIGH
eClerx Services Limited,2484.363239358,BRSR_XBRL,HIGH
EICHER MOTORS LIMITED,6172.0,Gemini_Low,LOW
EIH Limited,2879.506491949,BRSR_XBRL,HIGH
Electronics Mart India Limited,6964.826487,BRSR_XBRL,HIGH
Elgi Equipments Limited,2080.9,BRSR_XBRL,HIGH
Emami Limited,3175.43,BRSR_XBRL,HIGH
Endurance Technologies Limited,8846.1468645,BRSR_XBRL,HIGH
Engineers India Limited,3232.165,BRSR_XBRL,HIGH
Equitas Small Finance Bank Limited,7223.0,BRSR_XBRL,HIGH
Eris Lifesciences Limited,1663.6297121,BRSR_XBRL,HIGH
ESAB India Limited,13.7347,BRSR_XBRL,HIGH
Escorts Kubota Limited,11099.751105703,BRSR_XBRL,HIGH
Eureka Forbes Limited,2590.34,Gemini_Low,LOW
Exide Industries Limited,17344.1401336,BRSR_XBRL,HIGH
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,5054.9261423,BRSR_XBRL,HIGH
FINE ORGANIC INDUSTRIES LIMITED,2205.19441,BRSR_XBRL,HIGH
Finolex Cables Limited,5318.89,BRSR_XBRL,HIGH
Finolex Industries Limited,4566.836077,BRSR_XBRL,HIGH
Firstsource Solutions Limited,2346.843,BRSR_XBRL,HIGH
Five-Star Business Finance Limited,2866.0239,BRSR_XBRL,HIGH
Force Motors Ltd,8071.2325704,BRSR_XBRL,HIGH
Fortis Healthcare Limited,6931.167,BRSR_XBRL,HIGH
GAIL India Limited,35537.0,Gemini_Low,LOW
GALAXY SURFACTANTS LIMITED,3001.27,BRSR_XBRL,HIGH
Garden Reach Shipbuilders  Engineers Limited,5075.6877,BRSR_XBRL,HIGH
General Insurance Corporation of India,49231.65865432,BRSR_XBRL,HIGH
Genus Power Infrastructures Limited,2442.0126352,BRSR_XBRL,HIGH
Gillette India Limited,3217.389261499,BRSR_XBRL,HIGH
GLAND PHARMA LIMITED,4334.094285633,BRSR_XBRL,HIGH
GlaxoSmithKline Pharmaceuticals Limited,37234.876,BRSR_XBRL,HIGH
Glenmark Pharmaceuticals Limited,9226.4092796,BRSR_XBRL,HIGH
GLOBAL HEALTH LIMITED,3771.412,BRSR_XBRL,HIGH
GODAWARI POWER AND ISPAT LIMITED,5042.1159505,BRSR_XBRL,HIGH
GODFREY PHILLIPS INDIA LIMITED,6734.931,BRSR_XBRL,HIGH
GODREJ AGROVET LIMITED,7087.799636,BRSR_XBRL,HIGH
Godrej Consumer Products Limited,10055.0,BRSR_XBRL,HIGH
Godrej Industries Limited,4171.2152764,BRSR_XBRL,HIGH
Godrej Properties Limited,4922.84,BRSR_XBRL,HIGH
Go Digit General Insurance Limited,10282.1407794,BRSR_XBRL,HIGH
GRANULES INDIA LIMITED,3755.0,BRSR_XBRL,HIGH
GRAPHITE INDIA LIMITED,2894.382802882,BRSR_XBRL,HIGH
Grasim Industries Limited,31563.2319949,BRSR_XBRL,HIGH
Grindwell Norton Limited,2737.3643486630003,BRSR_XBRL,HIGH
Gujarat Ambuja Exports Limited,4926.9284899,BRSR_XBRL,HIGH
Gujarat Fluorochemicals Limited,4564.55,BRSR_XBRL,HIGH
GUJARAT GAS LIMITED,17321.876384,BRSR_XBRL,HIGH
Gujarat Pipavav Port Limited,988.429,BRSR_XBRL,HIGH
Gujarat State Petronet Limited,2031.5390301,BRSR_XBRL,HIGH
G R Infraprojects Limited,80132.537,BRSR_XBRL,HIGH
Happiest Minds Technologies Limited,1481.373724,BRSR_XBRL,HIGH
Happy Forgings Limited,1408.895,BRSR_XBRL,HIGH
HCL Technologies Limited,51105.0,BRSR_XBRL,HIGH
HDFC Asset Management Company Limited,3498.0295175,BRSR_XBRL,HIGH
HDFC Bank Limited,346149.3235,BRSR_XBRL,HIGH
HDFC Life Insurance Company Limited,71044.9130582,BRSR_XBRL,HIGH
HEG Limited,2394.9,BRSR_XBRL,HIGH
HERO MOTOCORP LIMITED,40756.37,BRSR_XBRL,HIGH
HFCL Limited,4174.72,BRSR_XBRL,HIGH
HINDALCO INDUSTRIES LIMITED,93309.1167528,BRSR_XBRL,HIGH
HINDUSTAN AERONAUTICS LIMITED,30980.92,BRSR_XBRL,HIGH
HINDUSTAN COPPER LIMITED,2070.967634962,BRSR_XBRL,HIGH
Hindustan Petroleum Corporation Limited,468762.09,BRSR_XBRL,HIGH
Hindustan Unilever Limited,63121.0,BRSR_XBRL,HIGH
Hindustan Zinc Limited,34083.392369297995,BRSR_XBRL,HIGH
Hitachi Energy India Limited,6384.93,BRSR_XBRL,HIGH
Home First Finance Company India Limited,1529.95,BRSR_XBRL,HIGH
Honasa Consumer Limited,1865.7065781,BRSR_XBRL,HIGH
HONEYWELL AUTOMATION INDIA LIMITED,4189.5423787,BRSR_XBRL,HIGH
ICICI Bank Limited,191770.4843,BRSR_XBRL,HIGH
ICICI Lombard General Insurance Company Limited,28257.7423149,BRSR_XBRL,HIGH
ICICI Prudential Life Insurance Company Limited,72135.0,BRSR_XBRL,HIGH
IDBI Bank Limited,33828.33,BRSR_XBRL,HIGH
IDFC FIRST Bank Limited,43523.2,BRSR_XBRL,HIGH
IFCI Limited,895.94,BRSR_XBRL,HIGH
IIFL Finance Limited,4649.4352271,BRSR_XBRL,HIGH
Indegene Limited,1184.0,BRSR_XBRL,HIGH
Indian Energy Exchange Limited,535.3701804,BRSR_XBRL,HIGH
Indian Oil Corporation Limited,866345.0,BRSR_XBRL,HIGH
INDIAN OVERSEAS BANK,33676.0771,BRSR_XBRL,HIGH
INDIAN RAILWAY FINANCE CORPORATION LIMITED,27156.41,BRSR_XBRL,HIGH
Indian Renewable Energy Development Agency Limited,6754.7839270330005,BRSR_XBRL,HIGH
IndusInd Bank Limited,55136.0564,BRSR_XBRL,HIGH
Indus Towers Limited,30122.7800391,BRSR_XBRL,HIGH
Infibeam Avenues Limited,3726.5139835,BRSR_XBRL,HIGH
Infosys Limited,162989.649114318,BRSR_XBRL,HIGH
INOX India Limited,1296.2996,BRSR_XBRL,HIGH
Inox Wind Limited,3563.181081238,BRSR_XBRL,HIGH
INTELLECT DESIGN ARENA LIMITED,1735.253,BRSR_XBRL,HIGH
InterGlobe Aviation Limited,89593.6268232,BRSR_XBRL,HIGH
Ion Exchange India Limited,2540.0625,BRSR_XBRL,HIGH
Ipca Laboratories Limited,674.921,BRSR_XBRL,HIGH
IRB Infrastructure Developers Limited,8201.761,BRSR_XBRL,HIGH
Ircon International Limited,11950.4,BRSR_XBRL,HIGH
ISGEC Heavy Engineering Limited,5079.376283,BRSR_XBRL,HIGH
ITC Limited,74325.648415,BRSR_XBRL,HIGH
JAIPRAKASH POWER VENTURES LIMITED,6762.789501741,BRSR_XBRL,HIGH
JAI BALAJI INDUSTRIES LIMITED,6431.7802011,BRSR_XBRL,HIGH
JBM Auto Limited,5472.332102,BRSR_XBRL,HIGH
Jindal Stainless Limited,40816.88,BRSR_XBRL,HIGH
JINDAL STEEL  POWER LIMITED,50009.39,BRSR_XBRL,HIGH
Jio Financial Services Limited,805.56,BRSR_XBRL,HIGH
JK CEMENT LIMITED,11093.0,BRSR_XBRL,HIGH
JK LAKSHMI CEMENT LIMITED,6383.781889,BRSR_XBRL,HIGH
JK Tyre  Industries Limited,10349.4923845,BRSR_XBRL,HIGH
JM Financial Limited,1037.2672903,BRSR_XBRL,HIGH
JSW Energy Limited,12639.493685857,BRSR_XBRL,HIGH
JSW Infrastructure Limited,4476.144197005,BRSR_XBRL,HIGH
JSW Steel Limited,133609.0,BRSR_XBRL,HIGH
Jubilant FoodWorks Limited,6104.666159293,BRSR_XBRL,HIGH
JUBILANT INGREVIA LIMITED,4177.6161281,BRSR_XBRL,HIGH
Jubilant Pharmova Limited,7234.5,BRSR_XBRL,HIGH
Juniper Hotels Limited,944.2725,BRSR_XBRL,HIGH
Jupiter Life Line Hospitals Limited,1059.998,BRSR_XBRL,HIGH
Jupiter Wagons Limited,3870.625,BRSR_XBRL,HIGH
Just Dial Limited,1141.9279304,BRSR_XBRL,HIGH
JYOTHY LABS LIMITED,2843.92,BRSR_XBRL,HIGH
JYOTI CNC AUTOMATION LIMITED,1631.4701181,BRSR_XBRL,HIGH
Kajaria Ceramics Limited,4683.24,BRSR_XBRL,HIGH
Kalpataru Projects International Limited,18888.0,BRSR_XBRL,HIGH
Kalyan Jewellers India Limited,21638.595,BRSR_XBRL,HIGH
Kansai Nerolac Paints Limited,7496.71,BRSR_XBRL,HIGH
KARUR VYSYA BANK LIMITED,11507.592446819,BRSR_XBRL,HIGH
Kaynes Technology India Limited,1915.443,BRSR_XBRL,HIGH
KEC International Limited,21847.0,BRSR_XBRL,HIGH
KEI INDUSTRIES LIMITED,9735.8768286,BRSR_XBRL,HIGH
Keystone Realtors Limited,1010.4518676,BRSR_XBRL,HIGH
KFin Technologies Limited,1055.499,BRSR_XBRL,HIGH
KIOCL Limited,1851.9977775,BRSR_XBRL,HIGH
Kirloskar Brothers Limited,2901.391456,BRSR_XBRL,HIGH
Kirloskar Oil Engines Limited,5072.71,BRSR_XBRL,HIGH
KNR Constructions Limited,3970.615007,BRSR_XBRL,HIGH
KOTAK MAHINDRA BANK LIMITED,67880.8637,BRSR_XBRL,HIGH
KPIT Technologies Limited,2563.934,BRSR_XBRL,HIGH
KPI GREEN ENERGY LIMITED,1755.157559945,BRSR_XBRL,HIGH
KPR MILL LIMITED,4396.51,BRSR_XBRL,HIGH
Krishna Institute of Medical Sciences Limited,12222.0543576,BRSR_XBRL,HIGH
Latent View Analytics Limited,347.125,BRSR_XBRL,HIGH
LAURUS LABS LIMITED,5217.0,BRSR_XBRL,HIGH
Lemon Tree Hotels Limited,1450.3252215,BRSR_XBRL,HIGH
LIC Housing Finance Limited,28056.22,BRSR_XBRL,HIGH
Life Insurance Corporation of India,965969.501817298,BRSR_XBRL,HIGH
Linde India Limited,2845.681,BRSR_XBRL,HIGH
Lloyds Metals and Energy Limited,7855.112365401,BRSR_XBRL,HIGH
Lupin Limited,164585.0,BRSR_XBRL,HIGH
MACROTECH DEVELOPERS LIMITED,13779.5,BRSR_XBRL,HIGH
Mahanagar Gas Limited,7590.0,BRSR_XBRL,HIGH
MAHARASHTRA SCOOTERS LIMITED,223.5385027,BRSR_XBRL,HIGH
Maharashtra Seamless Limited,5544.2764823,BRSR_XBRL,HIGH
Mahindra Holidays  Resorts India Limited,1544.9102,BRSR_XBRL,HIGH
Mahindra Lifespace Developers Limited,3298.393253461,BRSR_XBRL,HIGH
Mahindra  Mahindra Financial Services Limited,16074.96,BRSR_XBRL,HIGH
Mahindra  Mahindra Limited,116483.68,BRSR_XBRL,HIGH
Manappuram Finance Limited,6914.47,BRSR_XBRL,HIGH
MANKIND PHARMA LIMITED,9497.8,BRSR_XBRL,HIGH
Man Infraconstruction Limited,708.33,BRSR_XBRL,HIGH
Marico Limited,6924.008711134,BRSR_XBRL,HIGH
Maruti Suzuki India Limited,151900.0793068,BRSR_XBRL,HIGH
Mastek Limited,34552.3,BRSR_XBRL,HIGH
Max Financial Services Limited,32613.73,BRSR_XBRL,HIGH
MAX HEALTHCARE INSTITUTE LIMITED,7028.46,BRSR_XBRL,HIGH
Mazagon Dock Shipbuilders Limited,11431.8819688,BRSR_XBRL,HIGH
MedPlus Health Services Limited,6136.053,BRSR_XBRL,HIGH
Metropolis Healthcare Limited,1216.543,BRSR_XBRL,HIGH
Metro Brands Limited,2449.61,BRSR_XBRL,HIGH
Mishra Dhatu Nigam Limited,1105.022995638,BRSR_XBRL,HIGH
MMTC LIMITED,5.34,BRSR_XBRL,HIGH
MOIL Limited,1584.9409452,BRSR_XBRL,HIGH
Motherson Sumi Wiring India Limited,9319.4037378,BRSR_XBRL,HIGH
Motilal Oswal Financial Services Limited,5359.34817,BRSR_XBRL,HIGH
Mphasis Limited,9271.047,BRSR_XBRL,HIGH
MRF Limited,29138.95,Gemini_Medium,MEDIUM
MUTHOOT FINANCE LIMITED,17155.953544,BRSR_XBRL,HIGH
Narayana Hrudayalaya Ltd,3732.29,BRSR_XBRL,HIGH
NATCO Pharma Limited,4415.8,BRSR_XBRL,HIGH
NAVA LIMITED,1612.0307316,BRSR_XBRL,HIGH
Navin Fluorine International Limited,3554.61194,BRSR_XBRL,HIGH
NBCC India Limited,8725.3555,BRSR_XBRL,HIGH
NCC LIMITED,19392.0,BRSR_XBRL,HIGH
Nestle India Limited,24393.8887548,BRSR_XBRL,HIGH
NETWEB TECHNOLOGIES INDIA LIMITED,1149.0202125,BRSR_XBRL,HIGH
Neuland Laboratories Limited,1558.5805,BRSR_XBRL,HIGH
Newgen Software Technologies Limited,1354.3539,BRSR_XBRL,HIGH
NHPC Limited,10573.4090897,BRSR_XBRL,HIGH
Nippon Life India Asset Management Limited,2348.288831892,BRSR_XBRL,HIGH
NLC India Limited,15282.98,BRSR_XBRL,HIGH
NMDC Limited,23688.0,BRSR_XBRL,HIGH
NMDC Steel Limited,3390.0,Gemini_Low,LOW
NTPC LIMITED,170037.37,BRSR_XBRL,HIGH
NUVAMA WEALTH MANAGEMENT LIMITED,4169.308000008,BRSR_XBRL,HIGH
Nuvoco Vistas Corporation Limited,103566.672787644,BRSR_XBRL,HIGH
Oberoi Realty Limited,5286.2745303,BRSR_XBRL,HIGH
Oil India Limited,22130.0,BRSR_XBRL,HIGH
Olectra Greentech Limited,1763.0586092,BRSR_XBRL,HIGH
One 97 Communications Limited,7660.7989067,BRSR_XBRL,HIGH
Oracle Financial Services Software Limited,5099.116664041,BRSR_XBRL,HIGH
Page Industries Limited,49349.6,BRSR_XBRL,HIGH
PATANJALI FOODS LIMITED,34289.401455365994,BRSR_XBRL,HIGH
PB FINTECH LIMITED,5252.8969445,BRSR_XBRL,HIGH
Persistent Systems Limited,13218.85,Gemini_Medium,MEDIUM
Petronet LNG Limited,53345.17,BRSR_XBRL,HIGH
Pfizer Limited,2373.678604645,BRSR_XBRL,HIGH
Pidilite Industries Limited,13109.782281662,BRSR_XBRL,HIGH
Piramal Enterprises Limited,10269.56,BRSR_XBRL,HIGH
Piramal Pharma Limited,5285.7084508,BRSR_XBRL,HIGH
PI INDUSTRIES LIMITED,7571.2,BRSR_XBRL,HIGH
PNB Housing Finance Limited,7661.22,BRSR_XBRL,HIGH
PNC Infratech Limited,7699.195336862,BRSR_XBRL,HIGH
Polycab India Limited,21914.0,BRSR_XBRL,HIGH
POLY MEDICURE LIMITED,1601.7997547,BRSR_XBRL,HIGH
Poonawalla Fincorp Limited,422.284,BRSR_XBRL,HIGH
Power Finance Corporation Limited,53127.0,BRSR_XBRL,HIGH
Power Grid Corporation of India Limited,45792.32,BRSR_XBRL,HIGH
Power Mech Projects Limited,4435.4198624,BRSR_XBRL,HIGH
Praj Industries Limited,3466.3,BRSR_XBRL,HIGH
Prestige Estates Projects Limited,8315.0,BRSR_XBRL,HIGH
Prism Johnson Limited,7068.59,BRSR_XBRL,HIGH
Procter  Gamble Health Limited,1151.26,BRSR_XBRL,HIGH
PTC Industries Limited,246.6108718,BRSR_XBRL,HIGH
PUNJAB NATIONAL BANK,138070.1,BRSR_XBRL,HIGH
Punjab  Sind Bank,13048.951086591,BRSR_XBRL,HIGH
PVR INOX LIMITED,5897.0234389,BRSR_XBRL,HIGH
Quess Corp Limited,17541.280952416,BRSR_XBRL,HIGH
Radico Khaitan Limited,17098.535593,BRSR_XBRL,HIGH
Railtel Corporation of India Limited,3551.0,BRSR_XBRL,HIGH
Rail Vikas Nigam Limited,21732.578194931,BRSR_XBRL,HIGH
RAJESH EXPORTS LIMITED,7085.1377,BRSR_XBRL,HIGH
Ramkrishna Forgings Limited,3634.299163035,BRSR_XBRL,HIGH
RateGain Travel Technologies Limited,279.8336144,BRSR_XBRL,HIGH
Ratnamani Metals  Tubes Limited,4876.1408,BRSR_XBRL,HIGH
RATTANINDIA ENTERPRISES LIMITED,186.0158897,BRSR_XBRL,HIGH
Raymond Limited,1814.65,BRSR_XBRL,HIGH
RBL Bank Limited,17845.25,BRSR_XBRL,HIGH
REC Limited,56367.0,BRSR_XBRL,HIGH
Redington Limited,99333.65,BRSR_XBRL,HIGH
Redtape Limited,2063.7441,BRSR_XBRL,HIGH
Relaxo Footwears Limited,3082.08,BRSR_XBRL,HIGH
Reliance Industries Limited,574956.4896449,BRSR_XBRL,HIGH
Reliance Infrastructure Limited,30425.04,BRSR_XBRL,HIGH
RELIANCE POWER LIMITED,7892.6,BRSR_XBRL,HIGH
Responsive Industries Limited,1401.09,Gemini_Low,LOW
RHI Magnesita India Ltd,2891.8601,BRSR_XBRL,HIGH
RITES Limited,2438.92,BRSR_XBRL,HIGH
Route Mobile Limited,832.2077684,BRSR_XBRL,HIGH
R R Kabel Limited,7894.759879,BRSR_XBRL,HIGH
Safari Industries India Limited,1771.5820825,BRSR_XBRL,HIGH
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,113662.6,BRSR_XBRL,HIGH
Sandur Manganese  Iron Ores Limited,1938.5389714,BRSR_XBRL,HIGH
SAPPHIRE FOODS INDIA LIMITED,2451.076,BRSR_XBRL,HIGH
SARDA ENERGY  MINERALS LIMITED,3603.87,BRSR_XBRL,HIGH
SAREGAMA India Limited,1009.2127,BRSR_XBRL,HIGH
SBFC Finance Limited,1305.1170845,BRSR_XBRL,HIGH
SBI Cards and Payment Services Limited,18637.151686407,BRSR_XBRL,HIGH
SBI Life Insurance Company Limited,84984.629068,BRSR_XBRL,HIGH
Schneider Electric Infrastructure Limited,2637.0,BRSR_XBRL,HIGH
Sheela Foam Limited,3513.06,Gemini_Low,LOW
SHIPPING CORPORATION OF INDIA LIMITED,0.512566568,BRSR_XBRL,HIGH
Shoppers Stop Limited,4435.61,BRSR_XBRL,HIGH
Shree Renuka Sugars Limited,10832.7,BRSR_XBRL,HIGH
Shriram Finance Limited,41859.469997324,BRSR_XBRL,HIGH
Shyam Metalics and Energy Limited,15137.4972348,BRSR_XBRL,HIGH
Signatureglobal India Limited,2498.0198196,BRSR_XBRL,HIGH
SJVN Limited,2897.265212,BRSR_XBRL,HIGH
SKF INDIA LIMITED,4919.90117322,BRSR_XBRL,HIGH
Sobha Limited,4408.09,BRSR_XBRL,HIGH
Solar Industries India Limited,4456.6030232,BRSR_XBRL,HIGH
Sonata Software Limited,10157.2514562,BRSR_XBRL,HIGH
Sona BLW Precision Forgings Limited,1138.0,Gemini_Low,LOW
SRF LIMITED,11697.965107637,BRSR_XBRL,HIGH
Star Cement Limited,3173.9613,BRSR_XBRL,HIGH
Star Health and Allied Insurance Company Limited,16781.360149639,BRSR_XBRL,HIGH
STATE BANK OF INDIA,524192.78,BRSR_XBRL,HIGH
Steel Authority of India Limited,105374.59,BRSR_XBRL,HIGH
Sterling and Wilson Renewable Energy Limited,6302.0,BRSR_XBRL,HIGH
SUMITOMO CHEMICAL INDIA LIMITED,3060.8310794,BRSR_XBRL,HIGH
SUNDARAM FINANCE LIMITED,6520.44,BRSR_XBRL,HIGH
Sundram Fasteners Limited,5209.74,BRSR_XBRL,HIGH
Sun Pharmaceutical Industries Limited,23003.33,BRSR_XBRL,HIGH
Sun Pharma Advanced Research Company Limited,105.0146,BRSR_XBRL,HIGH
Sun TV Network Limited,4148.36,BRSR_XBRL,HIGH
Supreme Industries Limited,10446.243109035,BRSR_XBRL,HIGH
SUPREME PETROCHEM LIMITED,6023.38,BRSR_XBRL,HIGH
SUZLON ENERGY LIMITED,10806.890186238,BRSR_XBRL,HIGH
