Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
Sobha Ltd.,SOBHA,SOBHA,Real Estate & Construction,15344.1702212745,6137.67,,Original
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,SWSOLAR,Real Estate & Construction,14178.945950661,5671.58,,Original
G R Infraprojects Ltd.,GRINFRA,GRINFRA,Real Estate & Construction,13085.808275291,5234.32,,Original
Engineers India Ltd.,ENGINERSIN,ENGINERSIN,Real Estate & Construction,12772.7952126955,5109.12,,Original
Anant Raj Ltd.,ANANTRAJ,ANANTRAJ,Real Estate & Construction,11891.5730773395,4756.63,,Original
PNC Infratech Ltd.,PNCINFRA,PNCINFRA,Real Estate & Construction,11267.9957791865,4507.2,,Original
Techno Electric & Engineering Company Ltd.,TECHNOE,TECHNOE,Real Estate & Construction,10257.8351626015,4103.13,,Original
Mahindra Lifespace Developers Ltd.,MAHLIFE,MAHLIFE,Real Estate & Construction,9188.120934434,3675.25,,Original
Avenue Supermarts Ltd.,DMART,DMART,Hospitality & Tourism,278029.0856907845,111211.63,,Original
Trent Ltd.,TRENT,TRENT,Hospitality & Tourism,145215.8384863385,58086.34,,Original
Indian Hotels Co. Ltd.,INDHOTEL,INDHOTEL,Hospitality & Tourism,79115.8546179805,31646.34,,Original
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,IRCTC,Hospitality & Tourism,78372.544715447,31349.02,,Original
Info Edge (India) Ltd.,NAUKRI,NAUKRI,Hospitality & Tourism,72880.225285756,29152.09,,Original
FSN E-Commerce Ventures Ltd.,NYKAA,NYKAA,Hospitality & Tourism,47507.370283192,19002.95,,Original
Jubilant Foodworks Ltd.,JUBLFOOD,JUBLFOOD,Hospitality & Tourism,32255.3044488295,12902.12,,Original
EIH Ltd.,EIHOTEL,EIHOTEL,Hospitality & Tourism,25653.185668163,10261.27,,Original
Vedant Fashions Ltd.,MANYAVAR,MANYAVAR,Hospitality & Tourism,24850.286204063,9940.11,,Original
Aditya Birla Fashion and Retail Ltd.,ABFRL,ABFRL,Hospitality & Tourism,24634.322608551,9853.73,,Original
Devyani International Ltd.,DEVYANI,DEVYANI,Hospitality & Tourism,19810.9287462515,7924.37,,Original
Chalet Hotels Ltd.,CHALET,CHALET,Hospitality & Tourism,16826.507488069,6730.6,,Original
TBO Tek Ltd.,TBOTEK,TBOTEK,Hospitality & Tourism,16652.8259155625,6661.13,,Original
Indiamart Intermesh Ltd.,INDIAMART,INDIAMART,Hospitality & Tourism,15753.6378429965,6301.46,,Original
BLS International Services Ltd.,BLS,BLS,Hospitality & Tourism,14363.349948055644,5745.34,,Original
Hindustan Unilever Ltd.,HINDUNILVR,HINDUNILVR,Retail & Consumer Goods,562159.9985382624,224864.0,,Original
ITC Ltd.,ITC,ITC,Retail & Consumer Goods,538703.5697368791,215481.43,,Original
Titan Company Ltd.,TITAN,TITAN,Retail & Consumer Goods,317580.07400088303,127032.03,,Original
Asian Paints Ltd.,ASIANPAINT,ASIANPAINT,Retail & Consumer Goods,282148.73631218146,112859.49,,Original
Nestle India Ltd.,NESTLEIND,NESTLEIND,Retail & Consumer Goods,243573.967446209,97429.59,,Original
Godrej Consumer Products Ltd.,GODREJCP,GODREJCP,Retail & Consumer Goods,127832.320059393,51132.93,,Original
Britannia Industries Ltd.,BRITANNIA,BRITANNIA,Retail & Consumer Goods,121855.6301540955,48742.25,,Original
Tata Consumer Products Ltd.,TATACONSUM,TATACONSUM,Retail & Consumer Goods,107325.2280368435,42930.09,,Original
Havells India Ltd.,HAVELLS,HAVELLS,Retail & Consumer Goods,98517.872518731,39407.15,,Original
Dabur India Ltd.,DABUR,DABUR,Retail & Consumer Goods,96597.6533945345,38639.06,,Original
United Spirits Ltd.,UNITDSPR,UNITDSPR,Retail & Consumer Goods,84451.6283153265,33780.65,,Original
Colgate Palmolive (India) Ltd.,COLPAL,COLPAL,Retail & Consumer Goods,72468.339578615,28987.34,,Original
Marico Ltd.,MARICO,MARICO,Retail & Consumer Goods,70778.2160014685,28311.29,,Original
Berger Paints India Ltd.,BERGEPAINT,BERGEPAINT,Retail & Consumer Goods,62907.289514702,25162.92,,Original
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PGHH,Retail & Consumer Goods,53181.658494953,21272.66,,Original
United Breweries Ltd.,UBL,UBL,Retail & Consumer Goods,49062.226156211,19624.89,,Original
Dixon Technologies (India) Ltd.,DIXON,DIXON,Retail & Consumer Goods,46762.20697673501,18704.88,,Original
Kalyan Jewellers India Ltd.,KALYANKJIL,KALYANKJIL,Retail & Consumer Goods,40613.4508496285,16245.38,,Original
Voltas Ltd.,VOLTAS,VOLTAS,Retail & Consumer Goods,40294.803064807,16117.92,,Original
Blue Star Ltd.,BLUESTARCO,BLUESTARCO,Retail & Consumer Goods,27564.190254376503,11025.68,,Original
Kansai Nerolac Paints Ltd.,KANSAINER,KANSAINER,Retail & Consumer Goods,23735.054440216,9494.02,,Original
Emami Ltd.,EMAMILTD,EMAMILTD,Retail & Consumer Goods,22860.269367152498,9144.11,,Original
Radico Khaitan Ltd,RADICO,RADICO,Retail & Consumer Goods,22415.169004347,8966.07,,Original
Gillette India Ltd.,GILLETTE,GILLETTE,Retail & Consumer Goods,22082.535145361,8833.01,,Original
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,CROMPTON,Retail & Consumer Goods,20909.19032276,8363.68,,Original
Bharti Airtel Ltd.,BHARTIARTL,BHARTIARTL,Telecom Infrastructure,730310.2342570175,292124.09,,Original
Vodafone Idea Ltd.,IDEA,IDEA,Telecom Infrastructure,78513.01673621699,31405.21,,Original
Indus Towers Ltd.,INDUSTOWER,INDUSTOWER,Telecom Infrastructure,77059.6363330195,30823.85,,Original
Tata Communications Ltd.,TATACOMM,TATACOMM,Telecom Infrastructure,51994.469817073,20797.79,,Original
Bharti Hexacom Ltd.,BHARTIHEXA,BHARTIHEXA,Telecom Infrastructure,49616.25,19846.5,,Original
