Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Data_Tier,Estimated
Reliance Industries Limited,EST_1,Refinery,"Estimated facility - 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai - 400 021.",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
Reliance Industries Limited,EST_2,Terminal,"Estimated facility - 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai - 400 021.",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
Reliance Industries Limited,EST_3,Office,"Estimated facility - 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai - 400 021.",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
Reliance Industries Limited,EST_4,Warehouse,"Estimated facility - 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai - 400 021.",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
Tata Consultancy Services Limited,EST_1,Office,"Estimated facility - 9th Floor, Nirmal Building, Nariman Point, Mumbai 400 021, Maharashtra, India",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
Tata Consultancy Services Limited,EST_2,Data Center,"Estimated facility - 9th Floor, Nirmal Building, Nariman Point, Mumbai 400 021, Maharashtra, India",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_1,Branch,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_2,Office,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_3,Data Center,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_4,Branch,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_5,Office,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_6,Data Center,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_7,Branch,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_8,Office,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_9,Data Center,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_10,Branch,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_11,Office,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_12,Data Center,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
HDFC Bank Limited,EST_13,Branch,"Estimated facility - HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013",Mumbai,Maharashtra,India,Imputation_Estimated,Tier_3,True
