Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source
AIA ENGINEERING LIMITED,2,Corporate Office,"11/12, SIGMA COPRORATES, B/H. HOF 
SHOWROOM, OFF. S.G. HIGHWAY, SINDHU BHAVAN 
ROAD, BODAKDEV, AHMEDABAD - 380054",Ahmedabad,Gujarat,India,XBRL_CorporateOffice
AIA ENGINEERING LIMITED,3,Facility,Bavla District,Bavla,,India,XBRL_TextExtraction
Ajanta Pharma Limited,1,Registered Office,"Ajanta House 98, Govt Industrial Area, Charkop, Kandivli (West), Mumbai- 400067, Maharashtra, India.",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Ajanta Pharma Limited,2,Corporate Office,Same as above,,,India,XBRL_CorporateOffice
Akzo Nobel India Limited,1,Registered Office,"801A, South City Business Park, 770, Anandapur, Eastern Metropolitan Bypass, Near Fortis Hospital, E.K.T., Kolkata – 700 107, West Bengal",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Akzo Nobel India Limited,2,Corporate Office,"9th Floor, Magnum Towers 1, Sector 58, Gurugram 122 011, India",Gurugram,Haryana,India,XBRL_CorporateOffice
ALEMBIC PHARMACEUTICALS LIMITED,1,Registered Office,"ALEMBIC ROAD, VADODARA, Gujarat, India, 390003",Vadodara,Gujarat,India,XBRL_RegisteredOffice
Alkem Laboratories Limited,1,Registered Office,"Alkem House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Alkem Laboratories Limited,2,Plant,"Daman, Ahmedabad, Jaipur, Patna",Daman,Gujarat,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
ALKYL AMINES CHEMICALS LIMITED,1,Registered Office,"401-407 Nirman Vyapar Kendra, Sector 17, Vashi, Navi Mumbai - 400703",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
ALKYL AMINES CHEMICALS LIMITED,2,Corporate Office,"207A, Kakad Chambers, 132, Dr. Annie Besant Road, Worli, Mumbai - 400018",Mumbai,Maharashtra,India,XBRL_CorporateOffice
ALKYL AMINES CHEMICALS LIMITED,3,Facility,Gujarat this year,,Gujarat,India,XBRL_TextExtraction
ALKYL AMINES CHEMICALS LIMITED,4,Facility,Patalganga MIDC,Patalganga,,India,XBRL_TextExtraction
ALOK INDUSTRIES LIMITED,1,Registered Office,"Survey Nos. 17/5/1 & 521/1, Village Rakholi/ Sayli, Silvassa, Union Territory of Dadra and Nagar Haveli and Daman and Diu – 396230",Silvassa,Dadra and Nagar Haveli,India,XBRL_RegisteredOffice
ALOK INDUSTRIES LIMITED,2,Corporate Office,"Dhirubhai Ambani Knowledge City (DAKC), Building No. 24, 5th and 6th floor, MIDC, Plot no. 1 of 2, TTC Industrial area, Kopar Khairane, Navi Mumbai - 400 710.",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Amara Raja Energy  Mobility Limited,1,Registered Office,"Renignuta-Cuddapah Road, Karakambadi, Tirupati, Andhra Pradesh – 517520.",,Andhra Pradesh,India,XBRL_RegisteredOffice
Amara Raja Energy  Mobility Limited,2,Corporate Office,"TERMINAL A, 1-18/1/AMR/NR, Nanakramguda, Gachibowli, Hyderabad – 500032.",Hyderabad,Telangana,India,XBRL_CorporateOffice
Amber Enterprises India Limited,1,Registered Office,C – 1 Phase – II Focal Point Rajpura Town Punjab – 140401,,Punjab,India,XBRL_RegisteredOffice
Amber Enterprises India Limited,2,Corporate Office,Universal Trade Tower 1st Floor Sector – 49 Sohna Road Gurgaon – 122018,Gurgaon,Haryana,India,XBRL_CorporateOffice
Amber Enterprises India Limited,3,Plant,Faridabad Manesar Pune Rajpura Kothputli,Faridabad,Maharashtra,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Ambuja Cements Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Anand Rathi Wealth Limited,1,Registered Office,"Express Zone, A Wing, 10th Floor, Western Express Highway, Goregaon (E), Mumbai - 400063",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Anand Rathi Wealth Limited,2,Corporate Office,"Floor No. 2&3, Block B & C, E Wing, Trade Link, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai - 400013",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Anant Raj Limited,1,Registered Office,"Plot No. CP-1, Sector-8 IMT Manesar, Gurugram-122051, Haryana, India",Manesar,Haryana,India,XBRL_RegisteredOffice
Anant Raj Limited,2,Corporate Office,"H-65, Connaught Circus, New Delhi-110001",Delhi,Delhi,India,XBRL_CorporateOffice
Angel One Limited,1,Registered Office,"601, 6th Floor, Ackruti Star, Central Road, MIDC, Andheri East,Mumbai-400093",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Anupam Rasayan India Limited,1,Registered Office,1101 to 1107 11th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India,Surat,Gujarat,India,XBRL_RegisteredOffice
Anupam Rasayan India Limited,2,Corporate Office,10th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India,Surat,Gujarat,India,XBRL_CorporateOffice
APAR Industries Limited,1,Registered Office,"301 Panorama Complex, RC Dutt Road, Vadodara, Gujarat - 390007, India",Vadodara,Gujarat,India,XBRL_RegisteredOffice
APAR Industries Limited,2,Corporate Office,"APAR House', Bldg. No. 5, Corporate Park, Sion - Trombay Road, Chembur, Mumbai – 400071, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_CorporateOffice
APL Apollo Tubes Limited,1,Registered Office,"37, Hargobind Enclave, Vikas Marg, Delhi 110092",Delhi,Delhi,India,XBRL_RegisteredOffice
APL Apollo Tubes Limited,2,Corporate Office,"SG Centre, 37C, Block B, Sector 132, Noida, Uttar Pradesh - 201304",Noida,Uttar Pradesh,India,XBRL_CorporateOffice
APL Apollo Tubes Limited,3,Plant,"Hyderabad, Sikanderabad, and Bangalore",Hyderabad,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Apollo Tyres Limited,1,Registered Office,"3rd Floor, Areekal Mansion, Pampilly Nagar, Kochi-682036 (Kerala), India",Kochi,Kerala,India,XBRL_RegisteredOffice
Apollo Tyres Limited,2,Corporate Office,"7, Apollo House, Institutional Area, Sector-32, Gurugram-122001, Haryana",Gurugram,Haryana,India,XBRL_CorporateOffice
Aptus Value Housing Finance India Limited,1,Registered Office,"NO. 8B, DOSHI TOWERS, 8TH FLOOR, NO:205, POONAMALLEE HIGH ROAD, KILPAUK, CHENNAI, Tamil Nadu, India, 600010",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Archean Chemical Industries Limited,1,Registered Office,"No.2, North Crescent Road, T Nagar Chennai, Tamil Nadu-600017",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
ARVIND LIMITED,1,Registered Office,"NARODA ROAD, AHMEDABAD",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
ARVIND LIMITED,2,Plant,Sabarmati Basin and Cauvery & Pennar Basin,,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Asahi India Glass Limited,1,Registered Office,"A-2/10, 1st Floor, WHS DDA Marble Market, Kirti Nagar,
New Delhi-110 015",Delhi,Delhi,India,XBRL_RegisteredOffice
Asahi India Glass Limited,2,Corporate Office,"3rd Floor, Tower – D, Global Business Park, Mehrauli-Gurgaon Road, Gurgaon – 122002, Haryana",Gurgaon,Haryana,India,XBRL_CorporateOffice
Asahi India Glass Limited,3,Plant,"Bawal (Haryana), Bengaluru (Karnataka), Chennai (Tamil Nadu) and Soniyana (Rajasthan)",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Ashok Leyland Limited,1,Registered Office,"No. 1, Sardar Patel Road, Guindy,
Chennai – 600 032",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Ashok Leyland Limited,2,Plant,"Ennore, Bhandara, Sriperumbudur, Alwar, Hosur, Pantnagar",Hosur,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Ashok Leyland Limited,3,Facility,Uttarakhand,,Uttarakhand,India,XBRL_TextExtraction
Asian Paints Limited,1,Registered Office,"6A & 6B, Shantinagar, Santacruz (East), Mumbai – 400 055, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Asian Paints Limited,2,Corporate Office,"6A & 6B, Shantinagar, Santacruz (East), 
Mumbai – 400 055, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Aster DM Healthcare Limited,1,Registered Office,"Awfis, 2nd Floor, Renaissance Centra, 27 & 27/1, Mission Road Sampangi Rama Nagar, Bengaluru, Karnataka 560027",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
Aster DM Healthcare Limited,2,Corporate Office,"Awfis, 2nd Floor, Renaissance Centra, 27 & 27/1, Mission Road, Sampangi Rama Nagar, Bengaluru, Karnataka 560027",Bengaluru,Karnataka,India,XBRL_CorporateOffice
Astral Limited,1,Registered Office,"“Astral House’’, 207/1, Behind Rajpath Club, Off. S. G. Highway, Ahmedabad-380059, Gujarat, India.",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Astral Limited,2,Facility,Jamnagar and Adhesives plant at Santej,Jamnagar,,India,XBRL_TextExtraction
Astral Limited,3,Facility,Hyderabad,Hyderabad,Telangana,India,XBRL_TextExtraction
AstraZeneca Pharma India Limited,1,Registered Office,"Block N1, 12th Floor, Manyata Embassy Business Park, Rachenahalli, Outer Ring Road, Bengaluru – 560 045, Karnataka, India",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
AstraZeneca Pharma India Limited,2,Plant,"Yelahanka, Bengaluru North - 560063",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Atul Limited,1,Registered Office,"Atul House, G I Patel Marg, Ahmedabad 380 014, Gujarat, India",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Atul Limited,2,Corporate Office,"Atul 396 020, Gujarat, India",,Gujarat,India,XBRL_CorporateOffice
AUROBINDO PHARMA LIMITED,1,Registered Office,"Plot no.2, Maithrivihar, Behind Maithrivanam, Ameerpet, Hyderabad - 500038, Telangana, India",Hyderabad,Telangana,India,XBRL_RegisteredOffice
AUROBINDO PHARMA LIMITED,2,Corporate Office,"Galaxy, Floor 22-24; Plot No 1, Sy No 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, Hyderabad - 500032, Telangana, India",Hyderabad,Telangana,India,XBRL_CorporateOffice
AUROBINDO PHARMA LIMITED,3,Plant,"Bhiwadi, Rajasthan",,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Authum Investment  Infrastructure Limited,1,Registered Office,"707, Raheja Centre, Free Press Journal Marg, Nariman Point, Mumbai 400021",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Authum Investment  Infrastructure Limited,2,Corporate Office,"The Ruby, 11th Floor, North-West Wing, Plot No. 29, Senapati Bapat Marg, Dadar (West), Mumbai 400 028",Mumbai,Maharashtra,India,XBRL_CorporateOffice
AU Small Finance Bank Limited,1,Registered Office,"19-A, Dhuleshwar Garden, Ajmer Road, Jaipur – 302001,
Rajasthan",Ajmer,Rajasthan,India,XBRL_RegisteredOffice
AU Small Finance Bank Limited,2,Corporate Office,"5th Floor, E-Wing, Kanakia Zillion, Junction of CST Road & LBS Road, Kurla (West), Mumbai – 400070, Maharashtra",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Avenue Supermarts Limited,1,Registered Office,"Anjaneya CHS Ltd, Orchard Avenue, Opp. Hiranandani Foundation School, Powai, Mumbai- 400076",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Avenue Supermarts Limited,2,Corporate Office,"B-72/72A, Wagle Industrial Estate, Road No. 33, Kamgar Hospital Road, Thane- 400604",Thane,,India,XBRL_CorporateOffice
Avenue Supermarts Limited,3,Facility,Katol near Nagpur,Nagpur,,India,XBRL_TextExtraction
Axis Bank Limited,1,Registered Office,"“TRISHUL”, Third Floor, Opp. Samartheshwar Temple, Law Garden, Ellisbridge, 
Ahmedabad - 380 006, Gujarat",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Axis Bank Limited,2,Corporate Office,"‘Axis House’, C-2, Pandurang Budhkar Marg, Worli, Mumbai – 400 025, Maharashtra",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Bajaj Auto Limited,1,Registered Office,"Mumbai-Pune Road, Akurdi, Pune – 411035, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
BAJAJ ELECTRICALS LIMITED,1,Registered Office,"45/47, Veer Nariman Road, Mumbai 400001",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
BAJAJ ELECTRICALS LIMITED,2,Corporate Office,"Bajaj Electricals Limited, 26th and 27th Floors, One Unity Center, Senapati Bapat Marg, Prabhadevi 
(West), Mumbai – 400013",Mumbai,Maharashtra,India,XBRL_CorporateOffice
BAJAJ ELECTRICALS LIMITED,3,Facility,Nashik,Nashik,Maharashtra,India,XBRL_TextExtraction
BAJAJ ELECTRICALS LIMITED,4,Facility,Chakan and Nashik,Nashik,Maharashtra,India,XBRL_TextExtraction
Bajaj Finance Limited,1,Registered Office,"Akurdi, Pune - 411035",Pune,Maharashtra,India,XBRL_RegisteredOffice
Bajaj Finance Limited,2,Corporate Office,"4th Floor, Bajaj Finserv Corporate office, Off Pune - Ahmednagar Road, Viman Nagar, Pune - 411014",Pune,Maharashtra,India,XBRL_CorporateOffice
Bajaj Finserv Limited,1,Registered Office,"Bajaj Auto Limited Complex Mumbai - Pune Road, Pune",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Bajaj Finserv Limited,2,Corporate Office,"6th Floor, Bajaj Finserv Corporate office, Off Pune Ahmednagar Road, Viman Nagar, Pune - 411014",Pune,Maharashtra,India,XBRL_CorporateOffice
Bajaj Holdings  Investment Limited,1,Registered Office,"C/o. Bajaj Auto Ltd., Mumbai-Pune Road, Akurdi,",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Bajaj Holdings  Investment Limited,2,Corporate Office,"3rd Floor, Panchshil Tech Park, Viman Nagar, Pune – 411014",Pune,Maharashtra,India,XBRL_CorporateOffice
Balkrishna Industries Limited,1,Registered Office,"B-66, Waluj MIDC, Waluj Industrial Area, Chhatrapati Sambhaji Nagar, 431136 – Maharashtra",,Maharashtra,India,XBRL_RegisteredOffice
Balkrishna Industries Limited,2,Corporate Office,"BKT House, C/15, Trade World, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai – 400 013, India",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Balkrishna Industries Limited,3,Plant,"Bhuj, Bhiwadi and Chopanki are located in over exploited category of water stress area as per Central Ground Water Board (CGWB).",,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Balrampur Chini Mills Limited,1,Registered Office,"234/3A, A J C Bose Road, FMC Fortuna, 2nd Floor, Kolkata 700020",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Bandhan Bank Limited,1,Registered Office,"DN-32, Sector – V, Salt Lake, Kolkata – 700 091, West Bengal",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Bandhan Bank Limited,2,Corporate Office,"Floors 12-14, Adventz Infinity@5, BN-5, Sector V, Salt Lake City, Kolkata - 700 091, West Bengal",Kolkata,West Bengal,India,XBRL_CorporateOffice
Bank of Baroda,1,Registered Office,"Baroda House Mandvi Vadodara 390001
Gujarat India",Vadodara,Gujarat,India,XBRL_RegisteredOffice
Bank of Baroda,2,Corporate Office,"Baroda Corporate Centre, Plot No. C-26, Block G, Bandra Kurla Complex, Bandra (East), Mumbai – 400051, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_CorporateOffice
BANK OF INDIA,1,Registered Office,"Star House, C-5, G-Block, 8th Floor, Bandra Kurla Complex, Bandra (East), Mumbai – 400 051",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
BANK OF MAHARASHTRA,1,Registered Office,"Lokmangal, 1501, Shivajinagar, Pune",Pune,Maharashtra,India,XBRL_RegisteredOffice
BASF India Limited,1,Registered Office,"Unit Nos. 10A, 10B, 10C (Part), 10th Floor, Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai 400 079",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
BATA INDIA LIMITED,1,Registered Office,"27B, Camac Street, 1st Floor, Kolkata - 700016, West Bengal",Kolkata,West Bengal,India,XBRL_RegisteredOffice
BATA INDIA LIMITED,2,Corporate Office,"Milestone Experion Centre, 2nd Floor, Sector-15, Part – II, Gurugram – 122001, Haryana",Gurugram,Haryana,India,XBRL_CorporateOffice
BEML Limited,1,Registered Office,"BEML Soudha, 23/1, 4th Main, S R Nagar, Bengaluru – 560027",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
Bharat Dynamics Limited,1,Registered Office,"KANCHANBAGH, HYDERABAD TG 500058 IN",Hyderabad,Telangana,India,XBRL_RegisteredOffice
Bharat Dynamics Limited,2,Corporate Office,"Plot No.38-39, TSFC Building, Near ICICI Towers, Financial District, Nanakramguda HYDERABAD TG 500032 IN",Hyderabad,Telangana,India,XBRL_CorporateOffice
Bharat Dynamics Limited,3,Plant,"Kanchanbagh, Bhanur and Visakhapatnam Units.",Visakhapatnam,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
BHARAT ELECTRONICS LIMITED,1,Registered Office,"Outer Ring Raod, Nagavara, Bengaluru - 560045",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
Bharat Forge Limited,1,Registered Office,"Mundhwa, Pune Cantonment, Pune - 411 036, Maharashtra, India",Pune,Maharashtra,India,XBRL_RegisteredOffice
BHARAT HEAVY ELECTRICALS LIMITED,1,Registered Office,"BHEL House, Siri Fort, New Delhi – 110049",Delhi,Delhi,India,XBRL_RegisteredOffice
Bharti Airtel Limited,1,Registered Office,"Airtel Centre, Plot No. 16, Udyog Vihar, Phase-IV, Gurugram, Haryana- 122 015, India",Gurugram,Haryana,India,XBRL_RegisteredOffice
Bharti Airtel Limited,2,Corporate Office,"Bharti Crescent, 1 Nelson Mandela Road, Vasant Kunj, Phase II, New Delhi- 110 070, India",Delhi,Delhi,India,XBRL_CorporateOffice
Bharti Hexacom Limited,1,Registered Office,"Airtel Center, Plot No. 16, Udyog Vihar, Phase-IV,
Gurugram - 122015, India",Gurugram,Haryana,India,XBRL_RegisteredOffice
Bharti Hexacom Limited,2,Corporate Office,"Bharti Crescent, 1, Nelson Mandela Road,
Vasant Kunj, Phase II, New Delhi - 110070, India",Delhi,Delhi,India,XBRL_CorporateOffice
Bikaji Foods International Limited,1,Registered Office,"F 196-199, F 178 & E 188 Bichhwal Industrial Area, Bikaner – 334 006 Rajasthan, India",Bikaner,Rajasthan,India,XBRL_RegisteredOffice
Bikaji Foods International Limited,2,Corporate Office,"Plot No. E-558-561, C-569-572, E- 573-577, F-585-592 Karni Extension, RIICO Industrial Area, Bikaner – 334 004 Rajasthan, India",Bikaner,Rajasthan,India,XBRL_CorporateOffice
Biocon Limited,1,Registered Office,"20th KM, Hosur Road, Electronic City, Bangalore 560 100, Karnataka, India",Hosur,Karnataka,India,XBRL_RegisteredOffice
Birlasoft Limited,1,Registered Office,"35 & 36, Rajiv Gandhi Infotech Park, Phase-I, MIDC, Hinjawadi, Pune-411057, Maharashtra, India.",Pune,Maharashtra,India,XBRL_RegisteredOffice
Birlasoft Limited,2,Corporate Office,"Assotech Business Cresterra, Tower 3, Plot No. 22, Sector 135,
Expressway Noida - 201301, India.",Noida,Uttar Pradesh,India,XBRL_CorporateOffice
