Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag
Can Fin Homes Limited,Chemicals & Fertilizers,Hyderabad,Telangana,3516.0,0.45,0.0374641669027132,0.005225,0.0047949019073438,0.005225,0.0100199019073438,0.0183710999999999,Tier 2,75%,286.03,1882.84,917.41,13174.51,1.76,,3086.28,877.78,3747.02,0.5,,OK
Canara Bank,Financial Services,Pune,Maharashtra,126453.0,0.42,0.0011797441546504,0.000297,3.9183929598599324e-06,0.000297,0.0003009183929598,0.037556541,Tier 2,75%,17262.96,157897.79,,965368.8,23.4,,175160.75,1385.18,7634.21,0.19,,OK
Caplin Point Laboratories Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,1741.0,0.51,0.0374641669027132,0.005225,0.0109745692822422,0.005225,0.0161995692822422,0.009096725,Tier 2,75%,7502.51,13768.28,,57966.38,350.96,0.0,21270.79,12217.57,33294.88,201.59,0.0,OK
Capri Global Capital Limited,Financial Services,Mumbai,Maharashtra,2326.0,0.55,0.0011797441546504,0.000297,0.0002789592799044,0.000297,0.0005759592799044,0.000690822,Tier 2,75%,83.58,5153.33,2331.0,56316.17,951.5,,7567.91,3253.62,24211.6,409.07,,OK
Carborundum Universal Limited,Chemicals & Fertilizers,Delhi,Delhi,4648.0,0.62,0.0374641669027132,0.005225,0.004997371660861,0.005225,0.010222371660861,0.0242858,Tier 2,75%,54519.0,133529.0,,388962.0,14746.02,0.0,188048.0,40457.83,83683.73,3172.55,0.0,OK
Cello World Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,1971.0,0.48,0.0144770016599194,0.003465,0.0035256016218981,0.003465,0.0069906016218981,0.006829515,Tier 2,75%,48.03,312.42,,4445.0,0.0,,360.4500000000001,182.88,2255.2,0.0,,OK
Century Plyboards India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,3820.0,0.58,0.0374641669027132,0.005225,0.0056882766501501,0.005225,0.0109132766501501,0.0199594999999999,Tier 2,75%,50393.0,76345.0,,520423.0,187496.945,0.0,126738.0,33177.49,136236.39,49082.97,0.0,OK
Chalet Hotels Limited,Chemicals & Fertilizers,Hyderabad,Telangana,1438.0,0.45,0.0374641669027132,0.005225,0.0117238352616279,0.005225,0.0169488352616279,0.00751355,Tier 2,75%,5051.56,15228.93,106399.28,652047.37,31614.67,0.0,126679.77,88094.42,453440.45,21985.17,0.0,OK
Chemplast Sanmar Limited,Chemicals & Fertilizers,Pune,Maharashtra,3924.0,0.42,0.0374641669027132,0.005225,0.0040099261210855,0.005225,0.0092349261210855,0.0205028999999999,Tier 2,75%,559948.66,80885.3,8679.55,14395195.0,31717.522,0.0,649513.5100000001,165523.32,3668500.25,8082.96,0.0,OK
Cholamandalam Financial Holdings Limited,Financial Services,Ahmedabad,Gujarat,33456.89655172414,0.51,0.0011797441546504,0.000297,1.7983422877896847e-05,0.000297,0.0003149834228778,0.009936698275862,Tier 2,75%,621.0,13369.0,26423.0,619242.0,368.25,,40413.0,1207.91,18508.65,11.01,,OK
Cholamandalam Investment and Finance Company Limited,Financial Services,Mumbai,Maharashtra,26051.85078079815,0.55,0.0011797441546504,0.000297,2.4906456378752564e-05,0.000297,0.0003219064563787,0.007737399681897,Tier 2,75%,356.0,16924.0,33680.62,0.0,7.12,,50960.62,1956.12,0.0,0.27,,OK
Cipla Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,25774.0,0.62,0.0144770016599194,0.003465,0.0003482478865969,0.003465,0.0038132478865969,0.08930691,Tier 2,75%,778218.0,129087.0,5028316.0,1632537.0,32213.0,0.0,5935621.0,230294.91,63340.46,1249.83,0.0,OK
Clean Science and Technology Limited,Information Technology,Bangalore,Karnataka,796.0,0.48,0.0009696637386769,0.000396,0.0005847218524684,0.000396,0.0009807218524684,0.000315216,Tier 2,75%,126116.54,8081.33,770.0,422006.54,11059.99,0.0,134967.87,2027.6381909547738,41616.834170854265,285.1758793969849,0.0,OK
Cochin Shipyard Limited,Transportation & Logistics,Chennai,Tamil Nadu,3830.0,0.52,0.065,0.0125,0.0088250652741514,0.0125,0.0213250652741514,0.047875,Tier 2,75%,2687.63,28736.33,,573954.0,12621.181,0.0,31423.960000000003,8204.69,149857.44,3295.35,0.0,OK
Coforge Limited,Information Technology,Kolkata,West Bengal,9179.0,0.58,0.0009696637386769,0.000396,6.127083216391785e-05,0.000396,0.0004572708321639,0.0036348839999999,Tier 2,75%,1265.0,6344.0,29836.0,141895.0,56.467,0.0,37445.0,4079.42,15458.66,6.15,0.0,OK
Computer Age Management Services Limited,Information Technology,Hyderabad,Telangana,1422.4932963476651,0.45,0.0009696637386769,0.000396,0.0003067492012264,0.000396,0.0007027492012264,0.0005633073453536,Tier 2,75%,908.5,6089.28,11668.42,86194.8,80.24,,18666.2,13122.17,60594.17,56.41,,OK
Concord Biotech Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,1061.0,0.42,0.0144770016599194,0.003465,0.0057307640878097,0.003465,0.0091957640878097,0.003676365,Tier 2,75%,12.51,0.02,,385410.0,2877.57,0.0,12.53,11.81,363251.65,2712.13,0.0,OK
Container Corporation of India Limited,Transportation & Logistics,Ahmedabad,Gujarat,8153.0,0.51,0.065,0.0125,0.0040659879798847,0.0125,0.0165659879798847,0.1019125,Tier 2,75%,28950.94,17105.63,,200891.6,3.84,,46056.57,5649.03,24640.21,0.47,,OK
Craftsman Automation Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,4451.0,0.55,0.0374641669027132,0.005225,0.0046293623447522,0.005225,0.0098543623447522,0.023256475,Tier 2,75%,24522.74,97249.63,,291011.76,1962.68,0.0,121772.37,27358.43,65381.21,440.95,0.0,OK
CreditAccess Grameen Limited,Financial Services,Delhi,Delhi,5066.0,0.62,0.0011797441546504,0.000297,0.0001443824271384,0.000297,0.0004413824271384,0.001504602,Tier 2,75%,83.12,4725.33,3349894.23,0.0,0.5,,3354702.68,662199.5,0.0,0.1,,OK
Crompton Greaves Consumer Electricals Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,7313.0,0.48,0.0144770016599194,0.003465,0.0009502202648381,0.003465,0.0044152202648381,0.025339545,Tier 2,75%,767.69,6595.17,0.0,84126.5,1945.7601,0.0,7362.860000000001,1006.82,11503.69,266.07,0.0,OK
Cummins India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,8170.0,0.52,0.0374641669027132,0.005225,0.0023845002190221,0.005225,0.0076095002190221,0.04268825,Tier 2,75%,7541.0,18548.0,,177917.0,6716.42,0.0,26089.0,3193.27,21776.87,822.08,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
Cyient Limited,Information Technology,Kolkata,West Bengal,7147.0,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.002830212,Tier 2,75%,1117.0,10630.0,0.0,81961.0,200.58,0.0,11747.0,1643.63,11467.89,28.06,0.0,OK
DCM Shriram Limited,Chemicals & Fertilizers,Pune,Maharashtra,11365.0,0.42,0.0374641669027132,0.005225,0.0013845094675881,0.005225,0.0066095094675881,0.0593821249999999,Tier 2,75%,3250234.0,189123.0,3490395.0,14713879.95,766582.58,0.0,6929752.0,609745.01,1294666.08,67451.17,0.0,OK
DIVIS LABORATORIES LIMITED,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,7845.0,0.51,0.0144770016599194,0.003465,0.0009411435113523,0.003465,0.0044061435113523,0.027182925,Tier 2,75%,339941.0,357810.0,896952.0,2795303.0,165436.9,0.0,1594703.0,203276.35,356316.51,21088.2,0.0,OK
DLF Limited,Real Estate & Construction,Mumbai,Maharashtra,6912.0,0.55,0.07,0.0035,0.0055700231481481,0.0035,0.0090700231481481,0.024192,Tier 2,75%,22343.18,152168.43,0.0,7260983.62,62685.19,44.85,174511.61,25247.63,1050489.53,9069.04,44.85,OK
DOMS Industries Limited,Chemicals & Fertilizers,Delhi,Delhi,1537.0,0.62,0.0374641669027132,0.005225,0.0151124160570476,0.005225,0.0203374160570476,0.008030825,Tier 2,75%,402.11,41116.54,,21391.0,6478.44,0.0,41518.65,27012.78,13917.37,4214.99,0.0,OK
Dabur India Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,12404.0,0.48,0.0144770016599194,0.003465,0.0005602193483361,0.003465,0.0040252193483361,0.04297986,Tier 2,75%,10970.0,51705.0,776352.0,1380303.0,22180.0,0.0,839027.0,67641.65,111278.86,1788.13,0.0,OK
Dalmia Bharat Limited,Cement Manufacturing,Chennai,Tamil Nadu,14691.0,0.52,0.0777832037429109,0.0033,0.0027532003230762,0.0033,0.0060532003230762,0.0484803,Tier 2,75%,15.33,0.41,1.47,4902013.0,24260.5,0.0,17.21,1.17,333674.56,1651.39,0.0,OK
Data Patterns India Limited,Information Technology,Kolkata,West Bengal,520.0,0.58,0.0009696637386769,0.000396,0.0010815480162165,0.000396,0.0014775480162165,0.0002059199999999,Tier 2,75%,207.69,2227.17,,16000.0,27.29,0.0,2434.86,4682.42,30769.23,52.48,0.0,OK
Deepak Nitrite Limited,Chemicals & Fertilizers,Hyderabad,Telangana,7688.0,0.45,0.0374641669027132,0.005225,0.0021928817776041,0.005225,0.0074178817776041,0.0401697999999999,Tier 2,75%,121129.44,101908.03,246570.12,1167269.0,83619.08,0.0,469607.59,61083.19,151829.99,10876.57,0.0,OK
Delhivery Limited,Chemicals & Fertilizers,Pune,Maharashtra,8142.0,0.42,0.0374641669027132,0.005225,0.0019325657208474,0.005225,0.0071575657208474,0.04254195,Tier 2,75%,186222.92,61144.3,569765.93,456539.97,2479.92,0.0,817133.1500000001,100360.25,56072.21,304.58,0.0,OK
Devyani International Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,3556.0,0.51,0.0144770016599194,0.003465,0.0020762853899209,0.003465,0.0055412853899209,0.01232154,Tier 2,75%,28363.09,81463.94,,1189105.2,6384.96,0.0,109827.03,30884.99,334394.04,1795.55,0.0,OK
Dixon Technologies India Limited,Information Technology,Mumbai,Maharashtra,17690.0,0.55,0.0009696637386769,0.000396,3.014782681019192e-05,0.000396,0.0004261478268101,0.0070052399999999,Tier 2,75%,2170.4,28170.13,,71750.39,960.57,0.0,30340.53,1715.12,4055.99,54.3,0.0,OK
Dr Reddys Laboratories Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,27916.0,0.62,0.0144770016599194,0.003465,0.0003215267598921,0.003465,0.0037865267598921,0.09672894,Tier 2,75%,142772.0,94690.0,845849.0,2123116.0,112677.09,0.0,1083311.0,38806.1,76053.73,4036.29,0.0,OK
EICHER MOTORS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,16536.0,0.48,0.0374641669027132,0.005225,0.0010874939594401,0.005225,0.0063124939594401,0.0864006,Tier 2,75%,17446.14,12071.19,,231818.0,8931.8,0.0,29517.33,1785.03,14018.99,540.14,0.0,OK
EIH Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,2511.0,0.52,0.0374641669027132,0.005225,0.007758409713027,0.005225,0.012983409713027,0.0131199749999999,Tier 2,75%,44778.0,88959.0,348979.0,2959576.0,5471.34,0.0,482716.0,192240.54,1178644.36,2178.95,0.0,OK
ESAB India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,1243.0,0.58,0.0374641669027132,0.005225,0.0174812685467205,0.005225,0.0227062685467205,0.0064946749999999,Tier 2,75%,1185.0,15668.0,0.0,66828.0,3164.73,0.0,16853.0,13558.33,53763.48,2546.04,0.0,OK
Easy Trip Planners Limited,Chemicals & Fertilizers,Hyderabad,Telangana,609.0,0.45,0.0374641669027132,0.005225,0.0276828819478176,0.005225,0.0329078819478176,0.003182025,Tier 2,75%,0.0,329.35,,14832.0,0.0,,329.35,540.8,24354.68,0.0,,OK
Electronics Mart India Limited,Chemicals & Fertilizers,Pune,Maharashtra,6285.0,0.42,0.0374641669027132,0.005225,0.0025035720125918,0.005225,0.0077285720125918,0.032839125,Tier 2,75%,1496.22,25061.94,0.0,81878.63,1851.35,,26558.16,4225.64,13027.63,294.57,,OK
Elgi Equipments Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,3518.0,0.51,0.0374641669027132,0.005225,0.0054311327800977,0.005225,0.0106561327800977,0.0183815499999999,Tier 2,75%,1455.71,7340.35,0.0,47822.0,3560.79969,0.0,8796.060000000001,2500.3,13593.52,1012.17,0.0,OK
Emami Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,3578.0,0.55,0.0144770016599194,0.003465,0.0022253635866281,0.003465,0.0056903635866281,0.01239777,Tier 2,75%,1794.0,14548.0,178152.0,192057.0,15411.0,0.0,194494.0,125813.86249301286,53677.19,32.42034656232532,0.0,OK
Endurance Technologies Limited,Information Technology,Delhi,Delhi,10208.0,0.62,0.0009696637386769,0.000396,5.889415340710011e-05,0.000396,0.0004548941534071,0.0040423679999999,Tier 2,75%,53761.0,129279.0,10546.62,954516.0,33230.25363,0.0,193586.62,18964.21,93506.66,3255.31,0.0,OK
Engineers India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,3232.0,0.48,0.0374641669027132,0.005225,0.0055639851835712,0.005225,0.0107889851835712,0.0168872,Tier 2,75%,279.0,6213.0,,102533.0,0.0,0.0,6492.0,2008.66,31724.32,0.0,0.0,OK
Equitas Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,6008.0,0.52,0.0011797441546504,0.000297,0.0001021083489377,0.000297,0.0003991083489377,0.001784376,Tier 2,75%,1365.43,16738.3,249.99,343305.0,15.25,,18353.72,3054.88,57141.31,2.54,,OK
Eris Lifesciences Limited,Pharmaceuticals & Healthcare,Kolkata,West Bengal,2012.0,0.58,0.0144770016599194,0.003465,0.0041732907369548,0.003465,0.0076382907369548,0.00697158,Tier 2,75%,342.74,1666.89,0.0,19124.98,116.18,0.0,2009.63,998.82,9505.46,57.74,0.0,OK
Escorts Kubota Limited,Chemicals & Fertilizers,Hyderabad,Telangana,8771.0,0.45,0.0374641669027132,0.005225,0.0019221155063528,0.005225,0.0071471155063528,0.045828475,Tier 2,75%,11639.29,42962.51,24610.56,514586.01,17185.89,0.0,79212.36,9031.17,58669.02,1959.4,0.0,OK
Eureka Forbes Limited,Chemicals & Fertilizers,Pune,Maharashtra,2929.0,0.42,0.0374641669027132,0.005225,0.005372123625517,0.005225,0.010597123625517,0.0153040249999999,Tier 2,75%,109.0,762.0,,19111.0,1018.67,0.0,871.0,297.37,6524.752475247525,347.55889382041653,0.0,OK
Exide Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,16289.0,0.51,0.0374641669027132,0.005225,0.001172983309005,0.005225,0.006397983309005,0.0851100249999999,Tier 2,75%,35896.0,350643.0,869455.0,2348994.0,63321.32,1.2,1255994.0,77106.88,144207.38,3887.37,1.2,OK
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,4050.908927764959,0.55,0.0374641669027132,0.005225,0.005086584804527,0.005225,0.010311584804527,0.0211659991475719,Tier 2,75%,234928.79,111094.0,,8445168.0,297.131,0.0,346022.79000000004,85418.56,2084758.79,73.35,0.0,OK
FINE ORGANIC INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,2153.0,0.62,0.0374641669027132,0.005225,0.0107885664095133,0.005225,0.0160135664095133,0.0112494249999999,Tier 2,75%,25520.72,22990.95,34069.79,169850.61,1130.763,0.5,82581.45999999999,38356.46,78890.2,525.2,0.5,OK
Finolex Cables Limited,Chemicals & Fertilizers,Bangalore,Karnataka,5010.0,0.48,0.0374641669027132,0.005225,0.0035893812601401,0.005225,0.0088143812601401,0.0261772499999999,Tier 2,75%,6145.0,55108.0,,285437.0,2277.18,0.0,61253.0,12226.15,56973.45,454.53,0.0,OK
Finolex Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4316.0,0.52,0.0374641669027132,0.005225,0.0045137550485196,0.005225,0.0097387550485196,0.0225510999999999,Tier 2,75%,353473.99,54106.07,25832.0,3203286.28,17567.387,0.0,433412.06,100419.85,742188.67,4070.29,0.0,OK
Firstsource Solutions Limited,Information Technology,Kolkata,West Bengal,6512.0,0.58,0.0009696637386769,0.000396,8.636439932933078e-05,0.000396,0.0004823643993293,0.0025787519999999,Tier 2,75%,0.0,16867.06,26655.0,178673.0,379.34,0.0,43522.06,6683.36,27437.5,58.25,0.0,OK
Five-Star Business Finance Limited,Financial Services,Hyderabad,Telangana,2195.0,0.45,0.0011797441546504,0.000297,0.0002418609884249,0.000297,0.0005388609884249,0.000651915,Tier 2,75%,1.11,3646.79,,0.0,0.0,,3647.9,1661.91,0.0,0.0,,OK
Force Motors Ltd,Chemicals & Fertilizers,Pune,Maharashtra,6971.0,0.42,0.0374641669027132,0.005225,0.0022572012765943,0.005225,0.0074822012765943,0.036423475,Tier 2,75%,9649.0,36887.0,,445298.0,17759.83,0.0,46536.0,6675.66,63878.64,2547.67,0.0,OK
Fortis Healthcare Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,6893.0,0.51,0.0144770016599194,0.003465,0.0010711259025908,0.003465,0.0045361259025908,0.023884245,Tier 2,75%,4599.54,52228.25,,1220615.5,3991.65,0.0,56827.79,8244.28,177080.44,579.09,0.0,OK
G R Infraprojects Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,9335.0,0.55,0.0374641669027132,0.005225,0.0022073156718256,0.005225,0.0074323156718256,0.0487753749999999,Tier 2,75%,137340.32,143330.09,452067.5,1106339.0,207997.81687,0.0,732737.91,78493.62,118515.16,22281.5,0.0,OK
GAIL India Limited,Oil & Gas,Delhi,Delhi,133500.0,0.62,0.0971185610539406,0.0154274999999999,0.0004510375120108,0.0154274999999999,0.0158785375120107,2.059571249999987,Tier 2,75%,3433115.0,430242.0,30890931.0,20954755.0,12518.47,0.0,34754288.0,28939.003745318354,156964.45692883895,93.76779026217228,0.0,OK
GALAXY SURFACTANTS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,5103.0,0.48,0.0374641669027132,0.005225,0.0035239663165397,0.005225,0.0087489663165397,0.0266631749999999,Tier 2,75%,14649.0,27000.0,661027.0,328626.0,13813.59,0.0,702676.0,137698.61,64398.59,2706.95,0.0,OK
GLAND PHARMA LIMITED,Pharmaceuticals & Healthcare,Chennai,Tamil Nadu,5664.0,0.52,0.0144770016599194,0.003465,0.0013291032597383,0.003465,0.0047941032597383,0.01962576,Tier 2,75%,13920.0,80824.0,,524710.0,1976.66,0.0,94744.0,16727.4,92639.48,348.99,0.0,OK
GLOBAL HEALTH LIMITED,Pharmaceuticals & Healthcare,Kolkata,West Bengal,3285.0,0.58,0.0144770016599194,0.003465,0.0025560611758761,0.003465,0.0060210611758761,0.011382525,Tier 2,75%,5352.6,45915.3,,535991.0,2071.71,0.0,51267.9,15606.67,163163.17,630.66,0.0,OK
GODAWARI POWER AND ISPAT LIMITED,Steel & Iron,Hyderabad,Telangana,5455.0,0.45,0.0840934065650114,0.0096249999999999,0.0069371279476178,0.0096249999999999,0.0165621279476177,0.0525043749999994,Tier 2,75%,1553940.0,266491.0,,3683124.0,1036724.834,0.0,1820431.0,333717.87,675183.13,190050.38,0.0,OK
GODFREY PHILLIPS INDIA LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,5334.0,0.42,0.0374641669027132,0.005225,0.0029499344017884,0.005225,0.0081749344017884,0.02787015,Tier 2,75%,2460.0,14455.0,,76363.0,3590.9,0.0,16915.0,3171.17,14316.27,673.21,0.0,OK
GODREJ AGROVET LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,9503.0,0.51,0.0374641669027132,0.005225,0.0020105992971044,0.005225,0.0072355992971044,0.049653175,Tier 2,75%,2045.0,39435.0,908833.0,937884.0,40144.88,0.0,950313.0,100001.37,98693.47,4224.44,0.0,OK
GRANULES INDIA LIMITED,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,4506.0,0.55,0.0144770016599194,0.003465,0.0017670552403363,0.003465,0.0052320552403363,0.01561329,Tier 2,75%,57414.0,18853.0,468062.0,359149.0,6085.91,0.0,544329.0,120800.93,79704.62,1350.62,0.0,OK
GRAPHITE INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,2752.0,0.62,0.0374641669027132,0.005225,0.0084403282993031,0.005225,0.0136653282993031,0.0143791999999999,Tier 2,75%,89350.0,181590.0,649973.0,187167.0,33478.906,43.0,920913.0,334634.08,68011.26,12165.3,43.0,OK
GUJARAT GAS LIMITED,Oil & Gas,Bangalore,Karnataka,15636.0,0.48,0.0971185610539406,0.0154274999999999,0.0029813833017326,0.0154274999999999,0.0184088833017325,0.2412243899999984,Tier 2,75%,4088.7,117937.1,20224.4,82349.5,596.0,0.0,142250.2,9097.61,5266.66,38.12,0.0,OK
Garden Reach Shipbuilders  Engineers Limited,Transportation & Logistics,Chennai,Tamil Nadu,3592.0,0.52,0.065,0.0125,0.0094097995545657,0.0125,0.0219097995545657,0.0449,Tier 2,75%,0.0,7972.0,,1178643.0,128.82,,7972.0,2219.38,328130.01,35.86,,OK
General Insurance Corporation of India,Financial Services,Kolkata,West Bengal,43158.0,0.58,0.0011797441546504,0.000297,1.5854571798907086e-05,0.000297,0.0003128545717989,0.012817926,Tier 2,75%,0.0,0.0,,5935.0,1.8,,0.0,0.0,137.52,0.04,,OK
Genus Power Infrastructures Limited,Power Generation,Hyderabad,Telangana,1201.0,0.45,0.1562256571307733,0.0054449999999999,0.0585358415560765,0.0054449999999999,0.0639808415560764,0.0065394449999998,Tier 2,75%,244.0,8078.24,1103804.9,42754.37,1787.52,0.0,1112127.14,926000.95,35598.98,1488.36,0.0,OK
Gillette India Limited,Chemicals & Fertilizers,Pune,Maharashtra,2633.0,0.42,0.0374641669027132,0.005225,0.00597605396853,0.005225,0.01120105396853,0.013757425,Tier 2,75%,288.0,11925.0,,58272.0,4396.19,0.0,12213.0,4638.44,22131.41,1669.65,0.0,OK
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,3451.0,0.51,0.0144770016599194,0.003465,0.0021394583733871,0.003465,0.0056044583733871,0.011957715,Tier 2,75%,1002.89,941911.0,,78057.0,508.27,0.0,942913.89,273229.18,22618.66,147.28,0.0,OK
Glenmark Pharmaceuticals Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,12624.0,0.55,0.0144770016599194,0.003465,0.0006307312193405,0.003465,0.0040957312193405,0.04374216,Tier 2,75%,17263.0,76186.0,156645.0,529632.0,3808.0,0.0,250094.0,19810.99,41954.37,301.65,0.0,OK
Go Digit General Insurance Limited,Financial Services,Delhi,Delhi,7850.0,0.62,0.0011797441546504,0.000297,9.31772453354456e-05,0.000297,0.0003901772453354,0.00233145,Tier 2,75%,25.59,2536.65,,12906.0,58.0,,2562.24,326.4,1644.08,7.39,,OK
Godrej Consumer Products Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,14096.0,0.48,0.0144770016599194,0.003465,0.0004929739498269,0.003465,0.0039579739498269,0.04884264,Tier 2,75%,26047.0,23589.0,2208455.0,503608.0,7493.08,0.0,2258091.0,160193.74,35727.01,531.57,0.0,OK
Godrej Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,16653.0,0.52,0.0374641669027132,0.005225,0.0011698412772119,0.005225,0.0063948412772119,0.0870119249999999,Tier 2,75%,32796.0,44487.0,431864.0,926067.0,14780.08009,0.0,509147.0,30573.89,55609.62,887.53,0.0,OK
Godrej Properties Limited,Real Estate & Construction,Kolkata,West Bengal,3004.0,0.58,0.07,0.0035,0.0135153129161118,0.0035,0.0170153129161118,0.0105139999999999,Tier 2,75%,668.3,4433.36,2737107.39,332925.0,1838084.09,0.0,2742209.0500000003,912852.55,110827.23,611878.86,0.0,OK
Grasim Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,130978.0,0.45,0.0374641669027132,0.005225,0.0001287153194141,0.005225,0.0053537153194141,0.68436005,Tier 2,75%,5112096.87,1223512.84,6149467.0,60220464.28,1131684.23,0.0,12485076.71,95321.94,459775.41,8640.26,0.0,OK
Grindwell Norton Limited,Chemicals & Fertilizers,Pune,Maharashtra,2689.0,0.42,0.0374641669027132,0.005225,0.0058515991443434,0.005225,0.0110765991443434,0.0140500249999999,Tier 2,75%,29153.0,53183.0,0.0,168844.0,6461.2,0.0,82336.0,30619.56,62790.63,2402.83,0.0,OK
Gujarat Ambuja Exports Limited,Transportation & Logistics,Ahmedabad,Gujarat,4960.0,0.51,0.065,0.0125,0.0066834677419354,0.0125,0.0191834677419354,0.062,Tier 2,75%,772138.22,22325.79,23418.25,2392500.0,6685.28,0.0,817882.26,164895.62,482358.87,1347.84,0.0,OK
Gujarat Fluorochemicals Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,4264.0,0.55,0.0374641669027132,0.005225,0.0048323855057439,0.005225,0.0100573855057439,0.0222793999999999,Tier 2,75%,709492.0,402888.0,3338033.0,4812903.0,89447.36,0.0,4450413.0,1043717.87,1128729.6,20977.34,0.0,OK
Gujarat Pipavav Port Limited,Transportation & Logistics,Delhi,Delhi,981.0,0.62,0.065,0.0125,0.0410805300713557,0.0125,0.0535805300713557,0.0122625,Tier 2,75%,578.36,7990.63,,1042425.0,540.55,0.0,8568.99,8734.95,1062614.68,551.02,0.0,OK
