Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_Reported_ha,Land_Degraded_HA_Calculated,Land_Degradation_Pct,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD
Chemplast Sanmar Limited,Chemicals & Fertilizers,Pune,Maharashtra,2408.74,0.42,0.0374641669027132,0.005225,0.0040099261210855,0.005225,0.0092349261210855,12.5856665,Tier 2,75%,559948.66,80885.3,8679.55,14395195.0,31717.522,220.0,649513.5100000001,269648.65863480495,5976234.46283119,13167.681858565062,0.0,OK,154.0,12.0,166.0,,,,,,2.21,0.6253012048192771,,,0.0,103.8,68.91569866403182,0.0,130646.61,5903446.5,5976234.46283119,Extremely High (4-5),4.957509669815912,100.0,0.0,42.0,12.5,1.4,0.0205028999999999
Cholamandalam Financial Holdings Limited,Financial Services,Ahmedabad,Gujarat,34179.06,0.51,0.0011797441546504,0.000297,1.7983422877896847e-05,0.000297,0.0003149834228778,10.15118082,Tier 2,75%,621.0,13369.0,26423.0,619242.0,368.25,,40413.0,1182.390621626224,18117.584275284345,10.774140658052037,,OK,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1200.0,18117.584275284345,Extremely High (4-5),4.948067374219448,0.0,0.0,95.0,0.2,0.8,0.009936698275862
Cholamandalam Investment and Finance Company Limited,Financial Services,Mumbai,Maharashtra,26054.76,0.55,0.0011797441546504,0.000297,2.4906456378752564e-05,0.000297,0.0003219064563787,7.73826372,Tier 2,75%,356.0,16924.0,33680.62,0.0,7.12,,50960.62,1955.9044105568428,0.0,0.2732706039126824,,OK,,12.0,12.0,,,,,,1.2,0.225,,,0.0,2.7,0.46056843356070065,0.0,354.0,35400.0,0.0,Extremely High (4-5),4.948067374219448,0.0,125000.0,92.0,4.5,148.0,0.007737399681897
Cipla Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,27547.619447843,0.62,0.0144770016599194,0.003465,0.0003482478865969,0.003465,0.0038132478865969,95.452501386776,Tier 2,75%,778218.0,129087.0,5028316.0,1632537.0,32213.0,0.0,5935621.0,215467.6563337223,59262.36214678902,1169.3569406601594,0.0,OK,850.0,45.0,895.0,0.0,469.9,52.50279329608938,0.0,MSA_PROXY_HIGH,29.0,0.5250279329608938,0.0,0.5250279329608938,0.0,469.9,32.48919572504401,0.0,585223.0,2018011.0,59262.36214678902,Medium-High (2-3),2.725198127760862,48.5,0.0,84.0,1450.0,14.8,0.08930691
Clean Science and Technology Limited,Information Technology,Bangalore,Karnataka,922.316,0.48,0.0009696637386769,0.000396,0.0005847218524684,0.000396,0.0009807218524684,0.365237136,Tier 2,75%,126116.54,8081.33,770.0,422006.54,11059.99,0.0,134967.87,146335.82199593197,457550.92614678695,11991.54086018241,0.0,OK,85.0,12.0,97.0,,,,,,22.0,0.6247422680412371,,,0.0,60.6,105.17002849348812,0.0,27675.0,184500.0,457550.92614678695,Extremely High (4-5),4.524927260640533,100.0,0.0,45.0,14.2,0.6,0.000315216
Cochin Shipyard Limited,Transportation & Logistics,Chennai,Tamil Nadu,4527.841516908999,0.52,0.065,0.0125,0.0088250652741514,0.0125,0.0213250652741514,56.5980189613625,Tier 2,75%,2687.63,28736.33,32400.0,573954.0,12621.181,0.0,63823.96000000001,14095.890892305439,126761.06216540425,2787.460858085873,0.0,OK,85.0,245.0,330.0,,,,,,2.4,0.3751515151515151,,,0.0,123.8,72.88240959133206,0.0,51000.0,425000.0,126761.06216540423,High (3-4),3.596079698866581,12.4,45000.0,88.0,48.0,4.2,0.047875
Coforge Limited,Information Technology,Kolkata,West Bengal,5557.025307697,0.58,0.0009696637386769,0.000396,6.127083216391785e-05,0.000396,0.0004572708321639,2.200582021848012,Tier 2,75%,1265.0,6344.0,29836.0,141895.0,56.467,0.0,37445.0,6738.317341858273,25534.34475158178,10.161371754378719,0.0,OK,22.0,45.0,67.0,0.0,15.1,22.53731343283582,0.0,MSA_PROXY_HIGH,28.4,0.2253731343283582,0.0,0.2253731343283582,0.0,15.1,12.056810305902104,0.0,35613.6,125400.0,25534.34475158178,Extremely High (4-5),4.988669245284243,42.0,0.0,95.0,1.4,85.2,0.0036348839999999
Computer Age Management Services Limited,Information Technology,Hyderabad,Telangana,1422.4932963476651,0.45,0.0009696637386769,0.000396,0.0003067492012264,0.000396,0.0007027492012264,0.5633073453536753,Tier 2,75%,908.5,6089.28,11668.42,86194.8,80.24,,18666.2,13122.170802440029,60594.16956221179,56.40799869217022,,OK,,1.2,1.2,,,,,,,2.833333333333333,,,0.0,3.4,0.8435892127443203,0.0,0.0,5000.0,60594.16956221179,Extremely High (4-5),4.948067374219448,0.0,0.0,98.0,0.8,24.5,0.0005633073453536
Concord Biotech Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,1200.0869,0.42,0.0144770016599194,0.003465,0.0057307640878097,0.003465,0.0091957640878096,4.1583011085,Tier 2,75%,12.51,0.02,5400.0,385410.0,2877.57,0.0,5412.53,4510.115059167799,321151.7432612588,2397.801359218237,0.0,OK,85.0,12.0,97.0,,,,,,5.2,0.5247422680412371,,,0.0,50.9,80.82748007665111,0.0,9640.8,185400.0,321151.7432612588,Extremely High (4-5),4.992918278302652,100.0,0.0,72.0,142.0,1.2,0.003676365
Container Corporation of India Limited,Transportation & Logistics,Ahmedabad,Gujarat,9325.53,0.51,0.065,0.0125,0.0040659879798847,0.0125,0.0165659879798847,116.569125,Tier 2,75%,28950.94,17105.63,45000.0,200891.6,3.84,,91056.57,9764.224660689526,21542.110743303594,0.4117728429376131,,OK,1250.0,3800.0,5050.0,,,,,,2.4,0.9315643564356436,,,0.0,4704.4,541.524181467434,0.0,62250.0,1245000.0,21542.110743303598,Extremely High (4-5),4.466405670786255,10.0,12500.0,78.0,14.5,18.4,0.1019125
Craftsman Automation Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,3847.9436795,0.55,0.0374641669027132,0.005225,0.0046293623447522,0.005225,0.0098543623447522,20.1055057253875,Tier 2,75%,24522.74,97249.63,54000.0,291011.76,1962.68,0.0,175772.37,45679.55891257737,75627.8636692037,510.059440437296,0.0,OK,185.0,45.0,230.0,,,,,,21.56,0.6252173913043478,,,0.0,143.8,59.77218461520884,0.0,119796.4,555642.0,75627.8636692037,High (3-4),3.035117807491643,18.5,0.0,92.0,14.2,2.8,0.023256475
CreditAccess Grameen Limited,Financial Services,Delhi,Delhi,5756.1445322,0.62,0.0011797441546504,0.000297,0.0001443824271384,0.000297,0.0004413824271384,1.7095749260634,Tier 2,75%,83.12,4725.33,3349894.23,0.0,0.5,,3354702.68,582803.760613327,0.0,0.08686369794972815,,OK,,15.0,15.0,,,,,,,0.2266666666666666,,,0.0,3.4,2.6059109384918444,0.0,124.0,12400.0,0.0,Extremely High (4-5),4.450608464368671,0.0,0.0,95.0,0.6,12.5,0.001504602
Crompton Greaves Consumer Electricals Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,7655.0459039,0.48,0.0144770016599194,0.003465,0.0009502202648381,0.003465,0.0044152202648381,26.5247340570135,Tier 2,75%,767.69,6595.17,1450000.0,84126.5,1945.7601,0.0,1457362.86,190379.3756817997,10989.679363926512,254.18006951580756,0.0,OK,85.0,15.0,100.0,,,,,,7.0,0.525,,,0.0,52.5,13.063278947687722,0.0,14250.0,142500.0,10989.679363926512,Medium-High (2-3),2.097318207306509,14.0,1200.0,82.0,1450.0,112.0,0.025339545
Cummins India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,10166.204279679,0.52,0.0374641669027132,0.005225,0.0023845002190221,0.005225,0.007609500219022,53.11841736132277,Tier 2,75%,7541.0,18548.0,1245000.0,177917.0,6716.42,0.0,1271089.0,125030.8340292504,17500.82873660471,660.661522749971,0.0,OK,185.0,45.0,230.0,0.0,120.8,52.52173913043479,5.0,MSA_PROXY_HIGH,24.5,0.5252173913043479,0.0217391304347826,0.5034782608695652,0.0,120.8,22.62397977382197,0.0,133672.0,545600.0,17500.82873660471,Extremely High (4-5),4.554619306850499,52.0,0.0,95.0,124.0,14.5,0.04268825
Cyient Limited,Information Technology,Kolkata,West Bengal,2461.4478952,0.58,0.0009696637386769,0.000396,7.869105476879838e-05,0.000396,0.0004746910547687,0.9747333664992,Tier 2,75%,1117.0,10630.0,8900.0,81961.0,200.58,0.0,20647.0,8388.152371725248,33297.88136479745,81.48862317627986,0.0,OK,22.0,15.0,37.0,,,,,,12.5,0.0003,,,0.0,0.0110999999999999,15.031803058741424,0.0,7793.8,62351.0,33297.88136479745,Extremely High (4-5),4.992918278302652,45.0,0.0,92.0,1.2,45.8,0.002830212
DCM Shriram Limited,Chemicals & Fertilizers,Pune,Maharashtra,12370.1018717,0.42,0.0374641669027132,0.005225,0.0013845094675881,0.005225,0.0066095094675881,64.6337822796325,Tier 2,75%,3250234.0,189123.0,3490395.0,14713879.95,766582.58,1250.0,6929752.0,560201.692101963,1189471.2026310822,61970.59554972363,0.0,OK,1450.0,115.0,1565.0,,,,45.0,,15.0,0.6249840255591055,0.0287539936102236,,0.0,978.1,126.51472204771139,0.0,1875000.0,12500000.0,1189471.2026310822,Extremely High (4-5),4.704085603036913,22.5,0.0,98.0,145.0,4.2,0.0593821249999999
DIVIS LABORATORIES LIMITED,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,9550.2918639,0.51,0.0144770016599194,0.003465,0.0009411435113523,0.003465,0.0044061435113523,33.0917613084135,Tier 2,75%,339941.0,357810.0,896952.0,2795303.0,165436.9,12.4,1594703.0,166979.5041581881,292692.939633208,17322.706191352085,0.0,OK,1150.0,45.0,1195.0,,,,,,15.0,0.001,,,0.0,1.195,125.12706596089352,0.0,375000.0,2500000.0,292692.939633208,Extremely High (4-5),5.0,38.0,0.0,85.5,412.0,12.5,0.027182925
DLF Limited,Real Estate & Construction,Mumbai,Maharashtra,7993.6613539,0.55,0.07,0.0035,0.0055700231481481,0.0035,0.0090700231481481,27.97781473865,Tier 2,75%,22343.18,152168.43,145000.0,7260983.62,62685.19,44.85,319511.61,39970.62120277519,908342.6603326728,7841.862098575984,44.85,OK,2450.0,85.0,2535.0,,,,,,1.5,0.4749901380670611,,,0.0,1204.1,317.12626889844506,0.0,36750.0,2450000.0,908342.6603326728,Extremely High (4-5),4.988669245284243,100.0,0.0,95.0,142.0,85.0,0.024192
DOMS Industries Limited,Chemicals & Fertilizers,Delhi,Delhi,1709.109574,0.62,0.0374641669027132,0.005225,0.0151124160570476,0.005225,0.0203374160570476,8.93009752415,Tier 2,75%,402.11,41116.54,25652.326839769023,21391.0,6478.44,0.0,67170.97683976902,39301.73808725562,12515.873952971022,3790.5351994710663,0.0,OK,32.0,8.0,40.0,,,,,,5.0,0.525,,,0.0,21.0,23.403999725063855,0.0,1250.0,25000.0,12515.873952971022,High (3-4),3.866352778710754,12.0,1200.0,95.0,1250.0,0.4,0.008030825
Dabur India Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,9135.598392507,0.48,0.0144770016599194,0.003465,0.0005602193483361,0.003465,0.0040252193483361,31.654848430036758,Tier 2,75%,10970.0,51705.0,776352.0,1380303.0,22180.0,0.0,839027.0,91841.49345796203,151090.59534973887,2427.865044745399,0.0,OK,450.0,85.0,535.0,,,,12.0,,51.0,0.5250467289719626,0.022429906542056,,0.0,280.9,58.562118978304255,0.0,370971.0,732710.0,151090.59534973887,Extremely High (4-5),4.522996130845935,18.5,154200.0,82.0,35000.0,4.2,0.04297986
Dalmia Bharat Limited,Cement Manufacturing,Chennai,Tamil Nadu,21348.636816037,0.52,0.0777832037429109,0.0033,0.0027532003230762,0.0033,0.0060532003230761,70.4505014929221,Tier 2,75%,15.33,0.41,1.47,4902013.0,24260.5,45600.0,17.21,0.8061404645317646,229617.14334461064,1136.395743159377,0.0,OK,5400.0,1450.0,6850.0,,,,285.0,,24.0,0.0455474452554744,0.0416058394160583,,0.0,312.0,320.86357827092314,0.0,10944000.0,45600000.0,229617.14334461064,Extremely High (4-5),4.597915074611734,14.8,0.0,99.5,14580.0,8.4,0.0484803
Data Patterns India Limited,Information Technology,Kolkata,West Bengal,708.3495904,0.58,0.0009696637386769,0.000396,0.0010815480162165,0.000396,0.0014775480162165,0.2805064377984,Tier 2,75%,207.69,2227.17,2213.0276311876823,16000.0,27.29,0.0,4647.887631187683,6561.573118949717,22587.71687997294,38.52617460340385,0.0,OK,45.0,12.0,57.0,,,,,,5.0,0.5245614035087719,,,0.0,29.9,80.46874138490361,0.0,400.0,8000.0,22587.71687997294,Medium-High (2-3),2.006449295014786,0.0,0.0,92.0,1.2,12.8,0.0002059199999999
Deepak Nitrite Limited,Chemicals & Fertilizers,Hyderabad,Telangana,2724.349955,0.45,0.0374641669027132,0.005225,0.0021928817776041,0.005225,0.007417881777604,14.234728514875,Tier 2,75%,121129.44,101908.03,246570.12,1167269.0,83619.08,840.0,469607.58999999997,172374.18017392702,428457.80434988206,30693.22274347827,0.0,OK,154.0,12.0,166.0,,,,,,5.2,0.6253012048192771,,,0.0,103.8,60.93196642940095,0.0,179400.0,3450000.0,428457.80434988206,Extremely High (4-5),4.991906603774459,32.0,0.0,42.0,145.0,2.8,0.0401697999999999
Delhivery Limited,Chemicals & Fertilizers,Pune,Maharashtra,8931.904998088,0.42,0.0374641669027132,0.005225,0.0019325657208474,0.005225,0.0071575657208473,46.6692036150098,Tier 2,75%,186222.92,61144.3,569765.93,456539.97,2479.92,0.0,817133.1500000001,91484.75607106423,51113.3929545521,277.64737763454286,0.0,OK,0.0,850.0,850.0,0.0,318.8,37.50588235294118,0.0,MSA_PROXY_HIGH,2.0,0.3750588235294118,0.0,0.3750588235294118,0.0,318.8,95.16446941407845,0.0,24912.0,1245600.0,51113.3929545521,Extremely High (4-5),4.561793781913248,0.0,0.0,95.0,4150.0,45.2,0.04254195
Devyani International Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,3349.333,0.51,0.0144770016599194,0.003465,0.0020762853899209,0.003465,0.0055412853899209,11.605438845,Tier 2,75%,28363.09,81463.94,32400.0,1189105.2,6384.96,0.0,142227.03,42464.284679964636,355027.4636770963,1906.3377693409404,0.0,OK,,850.0,850.0,,,,,,3.2,0.2250588235294117,,,0.0,191.3,253.7818723907118,0.0,21250.0,425000.0,355027.4636770963,Extremely High (4-5),4.274916357308961,0.0,12450.0,68.0,1450.0,0.8,0.01232154
Dixon Technologies India Limited,Information Technology,Mumbai,Maharashtra,6411.4,0.55,0.0009696637386769,0.000396,3.014782681019192e-05,0.000396,0.0004261478268101,2.5389144,Tier 2,75%,2170.4,28170.13,12400.0,71750.39,960.57,0.0,42740.53,6666.333406120349,11191.064354119226,149.82219172099698,0.0,OK,45.0,115.0,160.0,,,,,,2.0,0.525,,,0.0,84.0,24.955547930249242,0.0,47472.0,118680.0,11191.064354119226,Extremely High (4-5),4.288540894381674,14.0,0.0,88.0,412.0,450.0,0.0070052399999999
Dr Reddys Laboratories Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,32643.7636642,0.62,0.0144770016599194,0.003465,0.0003215267598921,0.003465,0.0037865267598921,113.110641096453,Tier 2,75%,142772.0,94690.0,845849.0,2123116.0,112677.09,18.0,1083311.0,33185.84863999776,65038.94654550493,3451.71871598775,0.0,OK,1120.0,85.0,1205.0,,,,12.0,,56.0,0.5249792531120332,0.0099585062240663,,0.0,632.6,36.91363570682593,0.0,2322468.0,4873328.0,65038.94654550493,Extremely High (4-5),4.971673113210608,32.0,0.0,88.0,2845.0,18.4,0.09672894
EICHER MOTORS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,6172.0,0.48,0.0374641669027132,0.005225,0.0010874939594401,0.005225,0.00631249395944,32.2487,Tier 2,75%,17446.14,12071.19,2450000.0,231818.0,8931.8,0.0,2479517.33,401736.44361633185,37559.62410887881,1447.148412184057,0.0,OK,485.0,22.0,507.0,,,,12.0,,14.5,0.5250493096646942,0.0236686390532544,,0.0,266.2,82.1451717433571,0.0,123858.0,561865.0,37559.62410887881,Extremely High (4-5),4.516251633991319,45.0,0.0,92.0,412.0,12.5,0.0864006
EIH Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,2879.506491949,0.52,0.0374641669027132,0.005225,0.007758409713027,0.005225,0.012983409713027,15.045421420433524,Tier 2,75%,44778.0,88959.0,348979.0,2959576.0,5471.34,0.0,482716.0,167638.4482374522,1027806.6773854726,1900.0964280850474,0.0,OK,450.0,315.0,765.0,0.0,172.1,22.49673202614379,0.0,MSA_PROXY_HIGH,6.8,0.2249673202614379,0.0,0.2249673202614379,0.0,172.1,265.6705244940108,0.0,6146.0,90000.0,1027806.6773854726,Low-Medium (1-2),1.6046131373119568,82.0,0.0,68.0,24.0,4.2,0.0131199749999999
ESAB India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,13.7347,0.58,0.0374641669027132,0.005225,0.0174812685467205,0.005225,0.0227062685467205,0.0717638075,Tier 2,75%,1185.0,15668.0,12400.0,66828.0,3164.73,0.0,29253.0,2129860.863360685,4865632.303581439,230418.57485056098,0.0,OK,45.0,12.0,57.0,0.0,35.6,62.4561403508772,0.0,MSA_PROXY_HIGH,20.3,0.624561403508772,0.0,0.624561403508772,0.0,35.6,4150.072444247053,0.0,14577.0,71654.0,4865632.303581439,Extremely High (4-5),4.957509669815912,12.0,4500.0,78.0,84.0,1.4,0.0064946749999999
Easy Trip Planners Limited,Chemicals & Fertilizers,Hyderabad,Telangana,481.525,0.45,0.0374641669027132,0.005225,0.0276828819478176,0.005225,0.0329078819478176,2.515968125,Tier 2,75%,0.0,329.35,5400.0,14832.0,5.4,,5729.35,11898.343803540834,30802.139037433157,11.214371008774208,,OK,,8.0,8.0,,,,,,,0.225,,,0.0,1.8,16.61388297596179,0.0,0.0,500.0,30802.13903743316,Extremely High (4-5),4.4071174119847285,0.0,0.0,95.0,0.8,8.4,0.003182025
Electronics Mart India Limited,Chemicals & Fertilizers,Pune,Maharashtra,6964.826487,0.42,0.0374641669027132,0.005225,0.0025035720125918,0.005225,0.0077285720125917,36.391218394575,Tier 2,75%,1496.22,25061.94,104536.30834719338,81878.63,1851.35,,131094.46834719338,18822.359550791974,11756.018639204904,265.81423147519683,,OK,15.0,450.0,465.0,,,,,,15.47,0.2249462365591397,,,0.0,104.6,66.76404658004512,0.0,28849.87,186443.64,11756.018639204904,Extremely High (4-5),4.995278852201768,0.0,0.0,92.0,415.0,112.0,0.032839125
Elgi Equipments Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,2080.9,0.51,0.0374641669027132,0.005225,0.0054311327800977,0.005225,0.0106561327800977,10.8727025,Tier 2,75%,1455.71,7340.35,54000.0,47822.0,3560.79969,0.0,62796.06,30177.355951751644,22981.40227786054,1711.1825123744534,0.0,OK,85.0,12.0,97.0,,,,,,14.2,0.6247422680412371,,,0.0,60.6,46.61444567254553,0.0,26326.8,185400.0,22981.40227786054,High (3-4),3.22877333806354,18.5,0.0,84.0,42.0,2.8,0.0183815499999999
Emami Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,3175.43,0.55,0.0144770016599194,0.003465,0.0022253635866281,0.003465,0.0056903635866281,11.00286495,Tier 2,75%,1794.0,14548.0,178152.0,192057.0,15411.0,0.0,194494.0,61249.65752669718,60482.20241038222,4853.200983803768,0.0,OK,115.0,15.0,130.0,0.0,68.3,52.53846153846153,0.0,MSA_PROXY_HIGH,6.2,0.5253846153846153,0.0,0.5253846153846153,0.0,68.3,40.939337349587305,0.0,9002.4,145200.0,60482.20241038222,Low-Medium (1-2),1.2387094847897109,14.0,12450.0,72.0,28450.0,1.4,0.01239777
Endurance Technologies Limited,Information Technology,Delhi,Delhi,8846.1468645,0.62,0.0009696637386769,0.000396,5.889415340710011e-05,0.000396,0.0004548941534071,3.503074158342,Tier 2,75%,53761.0,129279.0,10546.62,954516.0,33230.25363,0.0,193586.62,21883.722140864757,107901.89385511077,3756.4664185437114,0.0,OK,315.0,45.0,360.0,,,,,,18.0,0.525,,,0.0,189.0,40.695684292185646,0.0,84560.0,845600.0,107901.89385511076,Extremely High (4-5),4.990557704403536,22.0,0.0,95.0,145.0,4.2,0.0040423679999999
Engineers India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,3232.165,0.48,0.0374641669027132,0.005225,0.0055639851835712,0.005225,0.0107889851835712,16.888062124999998,Tier 2,75%,279.0,6213.0,84500.0,102533.0,154.0,0.0,90992.0,28152.02812975204,31722.69980028866,47.646082424628695,0.0,OK,15.0,12.0,27.0,,,,,,4.8,0.174074074074074,,,0.0,4.7,8.353533931590745,0.0,4520.0,45200.0,31722.69980028866,Extremely High (4-5),4.525693929587782,0.0,0.0,98.0,1.2,12.5,0.0168872
Equitas Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,7223.0,0.52,0.0011797441546504,0.000297,0.0001021083489377,0.000297,0.0003991083489377,2.145231,Tier 2,75%,1365.43,16738.3,249.99,343305.0,15.25,,18353.72,2541.0106603904196,47529.41990862522,2.111311089574969,,OK,,15.0,15.0,,,,,,0.5,0.2266666666666666,,,0.0,3.4,2.0766994323688217,0.0,0.0,38500.0,47529.41990862522,Extremely High (4-5),4.948067374219448,0.0,124500.0,92.0,2.8,45.2,0.001784376
Eris Lifesciences Limited,Pharmaceuticals & Healthcare,Kolkata,West Bengal,1663.6297121,0.58,0.0144770016599194,0.003465,0.0041732907369548,0.003465,0.0076382907369548,5.7644769524265005,Tier 2,75%,342.74,1666.89,8900.0,19124.98,116.18,0.0,10909.630000000001,6557.727311944179,11495.935580435465,69.83525189228916,0.0,OK,115.0,15.0,130.0,,,,,,0.0,0.5253846153846153,,,0.0,68.3,78.14238893094846,0.0,0.0,125400.0,11495.935580435464,Extremely High (4-5),4.367918278302652,100.0,0.0,78.0,84.0,1.4,0.00697158
Escorts Kubota Limited,Chemicals & Fertilizers,Hyderabad,Telangana,11099.751105703,0.45,0.0374641669027132,0.005225,0.0019221155063528,0.005225,0.0071471155063528,57.996199527298174,Tier 2,75%,11639.29,42962.51,24610.56,514586.01,17185.89,0.0,79212.36,7136.408667695356,46360.139529219545,1548.3130960630251,0.0,OK,450.0,45.0,495.0,,,,12.0,,11.0,0.525050505050505,0.0242424242424242,,0.0,259.9,44.595594557581684,0.0,46816.0,425600.0,46360.139529219545,Extremely High (4-5),5.0,22.5,0.0,91.0,145.0,14.2,0.045828475
Eureka Forbes Limited,Chemicals & Fertilizers,Pune,Maharashtra,2590.34,0.42,0.0374641669027132,0.005225,0.005372123625517,0.005225,0.010597123625517,13.5345265,Tier 2,75%,109.0,762.0,12400.0,19111.0,1018.67,0.0,13271.0,5123.265671687886,7377.795965008454,393.2572558042573,0.0,OK,45.0,85.0,130.0,0.0,68.3,52.53846153846153,0.0,MSA_PROXY_HIGH,5.0,0.5253846153846153,0.0,0.5253846153846153,0.0,68.3,50.18646200884826,0.0,2500.0,50000.0,7377.795965008454,Medium-High (2-3),2.097318207306509,0.0,0.0,82.0,1240.0,45.8,0.0153040249999999
Exide Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,17344.1401336,0.51,0.0374641669027132,0.005225,0.001172983309005,0.005225,0.006397983309005,90.62313219806,Tier 2,75%,35896.0,350643.0,869455.0,2348994.0,63321.32,1.2,1255994.0,72416.04313187144,135434.44540380544,3650.8768674747116,1.2,OK,620.0,45.0,665.0,,,,,,5.4,0.6249624060150376,,,0.0,415.6,38.34147988182627,0.0,186300.0,3450000.0,135434.44540380544,Low-Medium (1-2),1.907275936722211,28.4,0.0,99.5,1845.0,22.4,0.0851100249999999
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,5054.9261423,0.55,0.0374641669027132,0.005225,0.005086584804527,0.005225,0.010311584804527,26.411989093517494,Tier 2,75%,234928.79,111094.0,456000.0,8445168.0,297.131,420.0,802022.79,158661.62381456245,1670680.789839876,58.780482965633375,0.0,OK,1450.0,115.0,1565.0,,,,42.0,,5.0,0.001,0.0268370607028754,,0.0,1.565,309.59898442510627,0.0,60000.0,1200000.0,1670680.789839876,Extremely High (4-5),4.021146614459034,12.5,1250000.0,45.0,1250.0,2.8,0.0211659991475719
FINE ORGANIC INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,2205.19441,0.62,0.0374641669027132,0.005225,0.0107885664095133,0.005225,0.0160135664095132,11.52214079225,Tier 2,75%,25520.72,22990.95,34069.79,169850.61,1130.763,0.5,82581.45999999999,37448.60753569568,77022.9641567067,512.772477053395,0.5,OK,115.0,12.0,127.0,,,,,,,0.6251968503937009,,,0.0,79.4,57.59129418435266,0.0,0.0,340662.1,77022.9641567067,Medium-High (2-3),2.097318207306509,100.0,0.0,62.0,84.2,0.8,0.0112494249999999
Finolex Cables Limited,Chemicals & Fertilizers,Bangalore,Karnataka,5318.89,0.48,0.0374641669027132,0.005225,0.0035893812601401,0.005225,0.0088143812601401,27.79120025,Tier 2,75%,6145.0,55108.0,12400.0,285437.0,2277.18,0.0,73653.0,13847.43809328638,53664.76840092575,428.13068140157054,0.0,OK,215.0,15.0,230.0,,,,,,16.5,0.6252173913043478,,,0.0,143.8,43.24210502567265,0.0,70224.0,425600.0,53664.76840092575,Medium-High (2-3),2.278735819349852,14.0,4200.0,95.0,145.0,2.1,0.0261772499999999
Finolex Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4566.836077,0.52,0.0374641669027132,0.005225,0.0045137550485196,0.005225,0.0097387550485196,23.861718502325,Tier 2,75%,353473.99,54106.07,25832.0,3203286.28,17567.387,115.0,433412.06,94904.2296882074,701423.5295487704,3846.7303629475114,0.0,OK,450.0,45.0,495.0,,,,,,5.4,0.625050505050505,,,0.0,309.4,108.39013961831765,0.0,124560.0,1245600.0,701423.5295487704,Extremely High (4-5),4.632364690764643,100.0,0.0,98.5,184.0,4.5,0.0225510999999999
Firstsource Solutions Limited,Information Technology,Kolkata,West Bengal,2346.843,0.58,0.0009696637386769,0.000396,8.636439932933078e-05,0.000396,0.0004823643993293,0.929349828,Tier 2,75%,124.0,16867.06,26655.0,178673.0,379.34,0.0,43646.06,18597.775820538485,76133.3416849785,161.6384223401395,0.0,OK,,28.0,28.0,,,,,,22.0,0.225,,,0.0,6.3,11.930921667959895,0.0,18540.0,185400.0,76133.3416849785,Medium-High (2-3),2.278735819349852,38.0,0.0,92.0,1.2,112.0,0.0025787519999999
