Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website
EIH Ltd.,EIHOTEL,EIHOTEL,Hospitality & Tourism,25653.185668163,10261.27,
Vedant Fashions Ltd.,MANYAVAR,MANYAVAR,Hospitality & Tourism,24850.286204063,9940.11,
Aditya Birla Fashion and Retail Ltd.,ABFRL,ABFRL,Hospitality & Tourism,24634.322608551,9853.73,
Devyani International Ltd.,DEVYANI,DEVYANI,Hospitality & Tourism,19810.9287462515,7924.37,
Chalet Hotels Ltd.,CHALET,CHALET,Hospitality & Tourism,16826.507488069,6730.6,
TBO Tek Ltd.,TBOTEK,TBOTEK,Hospitality & Tourism,16652.8259155625,6661.13,
Indiamart Intermesh Ltd.,INDIAMART,INDIAMART,Hospitality & Tourism,15753.6378429965,6301.46,
BLS International Services Ltd.,BLS,BLS,Hospitality & Tourism,14363.349948055644,5745.34,
Hindustan Unilever Ltd.,HINDUNILVR,HINDUNILVR,Retail & Consumer Goods,562159.9985382624,224864.0,
ITC Ltd.,ITC,ITC,Retail & Consumer Goods,538703.5697368791,215481.43,
Titan Company Ltd.,TITAN,TITAN,Retail & Consumer Goods,317580.07400088303,127032.03,
Asian Paints Ltd.,ASIANPAINT,ASIANPAINT,Retail & Consumer Goods,282148.73631218146,112859.49,
Nestle India Ltd.,NESTLEIND,NESTLEIND,Retail & Consumer Goods,243573.967446209,97429.59,
Godrej Consumer Products Ltd.,GODREJCP,GODREJCP,Retail & Consumer Goods,127832.32005939301,51132.93,
Britannia Industries Ltd.,BRITANNIA,BRITANNIA,Retail & Consumer Goods,121855.6301540955,48742.25,
Tata Consumer Products Ltd.,TATACONSUM,TATACONSUM,Retail & Consumer Goods,107325.2280368435,42930.09,
Havells India Ltd.,HAVELLS,HAVELLS,Retail & Consumer Goods,98517.87251873099,39407.15,
Dabur India Ltd.,DABUR,DABUR,Retail & Consumer Goods,96597.6533945345,38639.06,
United Spirits Ltd.,UNITDSPR,UNITDSPR,Retail & Consumer Goods,84451.6283153265,33780.65,
Colgate Palmolive (India) Ltd.,COLPAL,COLPAL,Retail & Consumer Goods,72468.339578615,28987.34,
Marico Ltd.,MARICO,MARICO,Retail & Consumer Goods,70778.2160014685,28311.29,
Berger Paints India Ltd.,BERGEPAINT,BERGEPAINT,Retail & Consumer Goods,62907.289514702,25162.92,
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PGHH,Retail & Consumer Goods,53181.658494953,21272.66,
United Breweries Ltd.,UBL,UBL,Retail & Consumer Goods,49062.226156211,19624.89,
Dixon Technologies (India) Ltd.,DIXON,DIXON,Retail & Consumer Goods,46762.206976735004,18704.88,
Kalyan Jewellers India Ltd.,KALYANKJIL,KALYANKJIL,Retail & Consumer Goods,40613.4508496285,16245.38,
Voltas Ltd.,VOLTAS,VOLTAS,Retail & Consumer Goods,40294.803064807,16117.92,
Blue Star Ltd.,BLUESTARCO,BLUESTARCO,Retail & Consumer Goods,27564.190254376503,11025.68,
Kansai Nerolac Paints Ltd.,KANSAINER,KANSAINER,Retail & Consumer Goods,23735.054440216,9494.02,
Emami Ltd.,EMAMILTD,EMAMILTD,Retail & Consumer Goods,22860.269367152498,9144.11,
Radico Khaitan Ltd,RADICO,RADICO,Retail & Consumer Goods,22415.169004347,8966.07,
Gillette India Ltd.,GILLETTE,GILLETTE,Retail & Consumer Goods,22082.535145361,8833.01,
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,CROMPTON,Retail & Consumer Goods,20909.19032276,8363.68,
Bharti Airtel Ltd.,BHARTIARTL,BHARTIARTL,Telecom Infrastructure,730310.2342570175,292124.09,
Vodafone Idea Ltd.,IDEA,IDEA,Telecom Infrastructure,78513.01673621699,31405.21,
Indus Towers Ltd.,INDUSTOWER,INDUSTOWER,Telecom Infrastructure,77059.6363330195,30823.85,
Tata Communications Ltd.,TATACOMM,TATACOMM,Telecom Infrastructure,51994.469817073,20797.79,
Bharti Hexacom Ltd.,BHARTIHEXA,BHARTIHEXA,Telecom Infrastructure,49616.25,19846.5,
