ID,Name,Column,In_DB,Coverage,Tier1_Pct,Tier2_Pct,Tier3_Pct,Source,Status
1.1,Scope 1 GHG Emissions,Scope1_GHG_tCO2e,True,97.89674952198853,97.89674952198853,0,0.0,CALCULATED FROM DB,EXCELLENT
1.2,Scope 2 GHG Emissions,Scope2_GHG_tCO2e,True,98.8527724665392,98.8527724665392,0,0.0,CALCULATED FROM DB,EXCELLENT
1.3,Scope 3 GHG (Supply Chain),Scope3_GHG_tCO2e,True,100.0,100.0,0,0.0,CALCULATED FROM DB,EXCELLENT
1.4,Energy Consumption,Total_Energy_GJ,True,43.59464627151052,43.59464627151052,0,0.0,CALCULATED FROM DB,MODERATE
1.5,Renewable Energy %,Renewable_Energy_Pct,True,81.64435946462714,81.64435946462714,0,0.0,CALCULATED FROM DB,GOOD
2.1,Water Withdrawal/Consumption,Water_Consumption_KL,True,98.47036328871893,98.47036328871893,0,0.0,CALCULATED FROM DB,EXCELLENT
2.2,Water Stress Index (WRI Aqueduct GIS),Water_Stress_Score,True,0.0,0.0,0,0.0,CALCULATED FROM DB,WEAK
2.3,Water Recycling %,Water_Recycling_Pct,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
2.4,Water Intensity,Water_Intensity,True,98.47036328871893,98.47036328871893,0,0.0,CALCULATED FROM DB,EXCELLENT
2.5,Water Discharge,Water_Discharge_KL,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
4.1,MSA Loss (GLOBIO 4 GIS),Base_MSA_Loss,True,100.0,100.0,0,0.0,CALCULATED FROM DB,EXCELLENT
4.2,Scope 3 Biodiversity (EXIOBASE 3.8.2),Scope3_Biodiversity_MSA,True,100.0,100.0,0,0.0,CALCULATED FROM DB,EXCELLENT
4.3,Protected Area Proximity (WDPA GIS),PA_Proximity_Score,True,0.0,0.0,0,0.0,CALCULATED FROM DB,WEAK
4.4,Threatened Species Impact,Threatened_Species,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
4.5,Biodiversity Conservation Actions,Conservation_Actions,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
5.1,Hazardous Air Emissions (NOx/SOx/PM),Hazardous_Air_Pollutants,True,22.94455066921606,0.0,0,22.94455066921606,CALCULATED FROM DB,WEAK
5.2,Total Waste Generated,Waste_Generated_MT,True,98.2791586998088,98.2791586998088,0,0.0,CALCULATED FROM DB,EXCELLENT
5.3,Waste Recycled %,Waste_Recycled_Pct,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
5.4,Plastic Waste (EPR),Plastic_Waste_MT,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
5.5,E-Waste,E_Waste_MT,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
3.1,Land Footprint,Total_Land_ha,True,98.47036328871893,98.47036328871893,0,0.0,CALCULATED FROM DB,EXCELLENT
3.2,Land Degraded,Land_Degraded_ha,True,98.47036328871893,98.47036328871893,0,0.0,CALCULATED FROM DB,EXCELLENT
3.3,Land Restored,Land_Restored_ha,True,23.518164435946463,0.0,0,23.518164435946463,CALCULATED FROM DB,WEAK
3.4,Forests/Ecosystems Managed,Forests_Managed_ha,False,0.0,0.0,0,0.0,NOT FOUND,MISSING
3.5,Land Intensity,Land_Intensity,True,98.47036328871893,98.47036328871893,0,0.0,CALCULATED FROM DB,EXCELLENT
